,City,Link
0,Banjhakri Waterfalls & Energy Park,/sikkim/gangtok/banjhakri-waterfalls-energy-park
1,Enchey Monastery,/sikkim/gangtok/enchey-monastery
2,Ranka Monastery,/sikkim/gangtok/ranka-monastery
3,Tashi View Point,/sikkim/gangtok/tashi-view-point
4,Jawaharlal Nehru Botanical Garden,/sikkim/gangtok/jawaharlal-nehru-botanical-garden
5,International Sikkim Flower Festival,/sikkim/gangtok/international-sikkim-flower-festival
6,Tsongmo Lake / Changu Lake,/sikkim/gangtok/tsongmo-lake-changu-lake
7,Rumtek Monastery,/sikkim/gangtok/rumtek-monastery
8,Hanuman Tok,/sikkim/gangtok/hanuman-tok
9,Namgyal Institute Of Tibetology,/sikkim/gangtok/namgyal-institute-of-tibetology
10,Do Drul Chorten Monastery,/sikkim/gangtok/do-drul-chorten-monastery
11,Tsuk La Khang Monastery,/sikkim/gangtok/tsuk-la-khang-monastery
12,Saramsa Garden,/sikkim/gangtok/saramsa-garden
13,Bakthang Waterfall,/sikkim/gangtok/bakthang-waterfall
14,Thakurbari Temple,/sikkim/gangtok/thakurbari-temple
15,Gonjang Monastery,/sikkim/gangtok/gonjang-monastery
16,Seven Sisters Waterfall,/sikkim/gangtok/seven-sisters-waterfall
17,Ganesh Tok View Point & Temple,/sikkim/gangtok/ganesh-tok-view-point-temple
18,Menmecho Lake,/sikkim/gangtok/menmecho-lake
19,Phensang Monastery,/sikkim/gangtok/phensang-monastery
20,Fambong Lho Wildlife Sanctuary,/sikkim/gangtok/fambong-lho-wildlife-sanctuary
21,Kyongnosla Waterfall & Alpine Sanctuary,/sikkim/gangtok/kyongnosla-waterfall-alpine-sanctuary
22,Baba Harbhajan Singh Temple,/sikkim/gangtok/baba-harbhajan-singh-temple
23,Phodong Monastery,/sikkim/gangtok/phodong-monastery
24,Lhabrung Or Labrang Monastery,/sikkim/gangtok/lhabrung-or-labrang-monastery
25,Tumlong,/sikkim/gangtok/tumlong
26,Pelling,/sikkim/pelling
27,Namchi,/sikkim/namchi
28,Ravangla,/sikkim/ravangla
29,Lachung,/sikkim/lachung
30,Darjeeling,/west-bengal/darjeeling
31,Lachen,/sikkim/lachen
32,Nathula Pass,/sikkim/gangtok/nathula-pass
33,Kangchendzonga / Kanchenjunga National Park,/sikkim/gangtok/kangchendzonga-kanchenjunga-national-park
