,City,Link
0,Ganpatipule Beach,/maharashtra/ganpatipule/ganpatipule-beach
1,Swayambhu Ganapati Temple,/maharashtra/ganpatipule/swayambhu-ganapati-temple
2,Prachin Konkan Museum,/maharashtra/ganpatipule/prachin-konkan-museum
3,Aare Ware Beach,/maharashtra/ganpatipule/aare-ware-beach
4,Bhandarpule Beach,/maharashtra/ganpatipule/bhandarpule-beach
5,Jaigad Fort & Lighthouse,/maharashtra/ganpatipule/jaigad-fort-lighthouse
6,Guhagar Beach,/maharashtra/ganpatipule/guhagar-beach
7,Vyadeshwar Temple,/maharashtra/ganpatipule/vyadeshwar-temple
8,Gopalgad Fort & Anjanvel Lighthouse,/maharashtra/ganpatipule/gopalgad-fort-anjanvel-lighthouse
9,Jai Vinayak Temple,/maharashtra/ganpatipule/jai-vinayak-temple
10,Velneshwar Temple & Beach,/maharashtra/ganpatipule/velneshwar-temple-beach
11,Hedvi Ganesh Temple & Beach,/maharashtra/ganpatipule/hedvi-ganesh-temple-beach
