,City,Link
0,Kamakhya Temple,/assam/guwahati/kamakhya-temple
1,Umananda Temple,/assam/guwahati/umananda-temple
2,Saraighat Bridge,/assam/guwahati/saraighat-bridge
3,The Regional Science Centre,/assam/guwahati/the-regional-science-centre
4,Srimanta Sankardeva Kalakshetra,/assam/guwahati/srimanta-sankardeva-kalakshetra
5,Assam State Zoo Cum Botanical Garden,/assam/guwahati/assam-state-zoo-cum-botanical-garden
6,Assam State Museum,/assam/guwahati/assam-state-museum
7,Brahmaputra River Cruise,/assam/guwahati/brahmaputra-river-cruise
8,Purva Tirupati Balaji Temple,/assam/guwahati/purva-tirupati-balaji-temple
9,Dighalipukhuri Lake,/assam/guwahati/dighalipukhuri-lake
10,Deepor Beel / Dipor Bil Bird Sanctuary,/assam/guwahati/deepor-beel-dipor-bil-bird-sanctuary
11,Fancy Bazaar,/assam/guwahati/fancy-bazaar
12,ISKCON Temple,/assam/guwahati/iskcon-temple
13,Navagraha Temple,/assam/guwahati/navagraha-temple
14,Basistha Ashram Temple,/assam/guwahati/basistha-ashram-temple
15,Bhubaneswari Mandir,/assam/guwahati/bhubaneswari-mandir
16,Sukreswar Mandir,/assam/guwahati/sukreswar-mandir
17,Ugratara Temple,/assam/guwahati/ugratara-temple
18,Nehru Park,/assam/guwahati/nehru-park
19,Guwahati War Cemetery,/assam/guwahati/guwahati-war-cemetery
20,Chandubi Lake,/assam/guwahati/chandubi-lake
21,Madan Kamdev Temple,/assam/guwahati/madan-kamdev-temple
22,Pobitora Wildlife Sanctuary,/assam/guwahati/pobitora-wildlife-sanctuary
23,Sualkuchi,/assam/guwahati/sualkuchi
24,Temples Of Hajo,/assam/guwahati/temples-of-hajo
25,Sri Aswaklanta Temple,/assam/guwahati/sri-aswaklanta-temple
26,Manas National Park,/assam/guwahati/manas-national-park
