,City,Link
0,Vittala Temple / Vijaya Vittala Temple,/karnataka/hampi/vittala-temple-vijaya-vittala-temple
1,Virupaksha Temple,/karnataka/hampi/virupaksha-temple
2,Sri Krishna Temple / Bala Krishna Temple,/karnataka/hampi/sri-krishna-temple-bala-krishna-temple
3,Mahanavami Dibba / Dasara Dibba,/karnataka/hampi/mahanavami-dibba-dasara-dibba
4,Hazara Rama Temple,/karnataka/hampi/hazara-rama-temple
5,Pattabhirama Temple,/karnataka/hampi/pattabhirama-temple
6,Hemakuta Hill Temple Complex,/karnataka/hampi/hemakuta-hill-temple-complex
7,Ugra Narasimha / Lakshmi Narasimha Statue,/karnataka/hampi/ugra-narasimha-lakshmi-narasimha-statue
8,Hampi Bazaar,/karnataka/hampi/hampi-bazaar
9,Lotus Mahal,/karnataka/hampi/lotus-mahal
10,Malyavanta Raghunathaswamy Temple,/karnataka/hampi/malyavanta-raghunathaswamy-temple
11,Achyutharaya Temple,/karnataka/hampi/achyutharaya-temple
12,Kadalekalu Ganesha Temple,/karnataka/hampi/kadalekalu-ganesha-temple
13,Royal Enclosure,/karnataka/hampi/royal-enclosure
14,Stepped Tank,/karnataka/hampi/stepped-tank
15,King's Audience Hall / Durbar Hall,/karnataka/hampi/kings-audience-hall-durbar-hall
16,King's Balance,/karnataka/hampi/kings-balance
17,Queen's Bath,/karnataka/hampi/queens-bath
18,Zenana Enclosure,/karnataka/hampi/zenana-enclosure
19,Elephant Stables,/karnataka/hampi/elephant-stables
20,Vira Harihara Palace,/karnataka/hampi/vira-harihara-palace
21,Matanga Hill,/karnataka/hampi/matanga-hill
22,Archeological Museum,/karnataka/hampi/archeological-museum
