,City,Link
0,Har Ki Pauri / Gangadwara,/uttarakhand/haridwar/har-ki-pauri-gangadwara
1,Chandi Devi Temple,/uttarakhand/haridwar/chandi-devi-temple
2,Mansa Devi Temple,/uttarakhand/haridwar/mansa-devi-temple
3,Vaishno Devi Temple,/uttarakhand/haridwar/vaishno-devi-temple
4,Daksha Mahadev Temple,/uttarakhand/haridwar/daksha-mahadev-temple
5,Rajaji National Park,/uttarakhand/haridwar/rajaji-national-park
6,Rishikesh,/uttarakhand/rishikesh
7,Maya Devi Temple,/uttarakhand/haridwar/maya-devi-temple
8,Bharat Mata Mandir,/uttarakhand/haridwar/bharat-mata-mandir
9,Bhimgoda Tank,/uttarakhand/haridwar/bhimgoda-tank
10,Neel Dhara Pakshi Vihar,/uttarakhand/haridwar/neel-dhara-pakshi-vihar
11,Bilkeshwar Mahadev Temple,/uttarakhand/haridwar/bilkeshwar-mahadev-temple
12,Parad Shivling,/uttarakhand/haridwar/parad-shivling
13,Doodhadhari Barfani Temple,/uttarakhand/haridwar/doodhadhari-barfani-temple
14,Sureshwari Devi Mandir,/uttarakhand/haridwar/sureshwari-devi-mandir
15,Pawan Dham,/uttarakhand/haridwar/pawan-dham
16,Vishnu Ghat,/uttarakhand/haridwar/vishnu-ghat
17,Gau Ghat,/uttarakhand/haridwar/gau-ghat
18,Kusha Ghat / Kushavarta Ghat,/uttarakhand/haridwar/kusha-ghat-kushavarta-ghat
19,Shantikunj,/uttarakhand/haridwar/shantikunj
20,Sapt Rishi Ashram,/uttarakhand/haridwar/sapt-rishi-ashram
21,Anandamayi Ashram,/uttarakhand/haridwar/anandamayi-ashram
22,Jai Ram Ashram,/uttarakhand/haridwar/jai-ram-ashram
