,City,Link
0,Charminar,/telangana/hyderabad/charminar
1,Chowmahalla Palace,/telangana/hyderabad/chowmahalla-palace
2,Falaknuma Palace,/telangana/hyderabad/falaknuma-palace
3,Golkonda / Golconda Fort,/telangana/hyderabad/golkonda-golconda-fort
4,Birla Temple,/telangana/hyderabad/birla-temple
5,Qutub Shahi Tombs,/telangana/hyderabad/qutub-shahi-tombs
6,Buddha Statue,/telangana/hyderabad/buddha-statue
7,Lumbini Park,/telangana/hyderabad/lumbini-park
8,Nehru Zoological Park,/telangana/hyderabad/nehru-zoological-park
9,Birla Planetarium & Science Museum,/telangana/hyderabad/birla-planetarium-science-museum
10,Salar Jung Museum,/telangana/hyderabad/salar-jung-museum
11,Ramoji Film City,/telangana/hyderabad/ramoji-film-city
12,Sri Rama Chandra Temple - Ammapalli,/telangana/hyderabad/sri-rama-chandra-temple-ammapalli
13,Anantagiri Hills,/telangana/hyderabad/anantagiri-hills
14,Bugga Rameshwaram Temple - Anantagiri Hills,/telangana/hyderabad/bugga-rameshwaram-temple-anantagiri-hills
15,"Wargal Saraswati Temple, Near Medak",/telangana/medak/wargal-saraswati-temple
16,"Bhongir Fort, Near Nalgonda",/telangana/nalgonda/bhongir-fort
17,"Edupayala Vana Durga Bhavani Temple, Near Medak",/telangana/medak/edupayala-vana-durga-bhavani-temple
18,"Singur Dam, Near Medak",/telangana/medak/singur-dam
19,"Medak Church, Near Medak",/telangana/medak/medak-church
20,"Pillalamarri / Big Banyan Tree, Near Mahabubnagar",/telangana/mahabubnagar/pillalamarri-big-banyan-tree
21,Yadagirigutta,/telangana/yadagirigutta
22,"Pocharam Dam & Wildlife Sanctuary, Near Medak",/telangana/medak/pocharam-dam-wildlife-sanctuary
23,Vemulawada,/telangana/vemulawada
24,Purana Haveli,/telangana/hyderabad/purana-haveli
25,Mecca Masjid,/telangana/hyderabad/mecca-masjid
26,Chilukur Balaji Temple,/telangana/hyderabad/chilukur-balaji-temple
27,Kamaldham Mandir / Lotus Temple,/telangana/hyderabad/kamaldham-mandir-lotus-temple
28,Keesara Gutta,/telangana/hyderabad/keesara-gutta
29,Nagarjuna Sagar,/telangana/nagarjuna-sagar
30,Maula Ali Dargah,/telangana/hyderabad/maula-ali-dargah
31,Warangal,/telangana/warangal
32,Paigah Tombs,/telangana/hyderabad/paigah-tombs
33,Sanghi Temple,/telangana/hyderabad/sanghi-temple
34,Shyam Mandir Temple / Veeranna Gutta,/telangana/hyderabad/shyam-mandir-temple-veeranna-gutta
35,St. Joseph's Cathedral,/telangana/hyderabad/st-josephs-cathedral
36,Toli Masjid,/telangana/hyderabad/toli-masjid
37,"Jain Temple - Kolanupaka, Near Warangal",/telangana/warangal/jain-temple-kolanupaka
38,Hussain Sagar & Necklace Road,/telangana/hyderabad/hussain-sagar-necklace-road
39,Durgam Cheruvu / Secret Lake,/telangana/hyderabad/durgam-cheruvu-secret-lake
40,Himayat Sagar Lake,/telangana/hyderabad/himayat-sagar-lake
41,Osman Sagar Lake / Gandipet,/telangana/hyderabad/osman-sagar-lake-gandipet
42,Botanical Gardens,/telangana/hyderabad/botanical-gardens
43,Indira Park,/telangana/hyderabad/indira-park
44,Krishna Kanth Park,/telangana/hyderabad/krishna-kanth-park
45,Mrigavani National Park,/telangana/hyderabad/mrigavani-national-park
46,NTR Gardens,/telangana/hyderabad/ntr-gardens
47,Public Gardens,/telangana/hyderabad/public-gardens
48,Sanjeeviah Park,/telangana/hyderabad/sanjeeviah-park
49,KBR National Park,/telangana/hyderabad/kbr-national-park
50,Mahavir Harina Vanasthali National Park,/telangana/hyderabad/mahavir-harina-vanasthali-national-park
51,AP State Museum,/telangana/hyderabad/ap-state-museum
52,Archival Museum,/telangana/hyderabad/archival-museum
53,Nizam's Museum,/telangana/hyderabad/nizams-museum
54,Shamir Pet,/telangana/hyderabad/shamir-pet
55,Ocean Park,/telangana/hyderabad/ocean-park
56,Shilparamam,/telangana/hyderabad/shilparamam
57,Assembly,/telangana/hyderabad/assembly
58,Mount Opera,/telangana/hyderabad/mount-opera
59,Peddamma Temple,/telangana/hyderabad/peddamma-temple
