,City,Link
0,Amer Fort / Amber Fort,/rajasthan/jaipur/amer-fort-amber-fort
1,City Palace / Sawai Man Singh II Museum,/rajasthan/jaipur/city-palace-sawai-man-singh-ii-museum
2,Hawa Mahal,/rajasthan/jaipur/hawa-mahal
3,Jantar Mantar,/rajasthan/jaipur/jantar-mantar
4,Albert Hall Museum,/rajasthan/jaipur/albert-hall-museum
5,Birla Mandir,/rajasthan/jaipur/birla-mandir
6,Nahargarh Fort,/rajasthan/jaipur/nahargarh-fort
7,Jaipur Zoo,/rajasthan/jaipur/jaipur-zoo
8,Khole Ke Hanuman Ji Temple,/rajasthan/jaipur/khole-ke-hanuman-ji-temple
9,Maharaja Ki Chhatri / Gaitor,/rajasthan/jaipur/maharaja-ki-chhatri-gaitor
10,Akshardham Temple,/rajasthan/jaipur/akshardham-temple
11,Panna Meena Ka Kund,/rajasthan/jaipur/panna-meena-ka-kund
12,Maharani Ki Chhatri,/rajasthan/jaipur/maharani-ki-chhatri
13,Moti Dungri Ganesh Temple,/rajasthan/jaipur/moti-dungri-ganesh-temple
14,Kanak Vrindavan Garden,/rajasthan/jaipur/kanak-vrindavan-garden
15,Govind Devji Temple,/rajasthan/jaipur/govind-devji-temple
16,Anokhi Museum Of Hand Printing,/rajasthan/jaipur/anokhi-museum-of-hand-printing
17,Digamber Jain Mandir Sanghiji,/rajasthan/jaipur/digamber-jain-mandir-sanghiji
18,ISKCON Temple,/rajasthan/jaipur/iskcon-temple
19,Samode Palace / Samode Bagh,/rajasthan/jaipur/samode-palace-samode-bagh
20,Sargasuli Tower / Isar Lat,/rajasthan/jaipur/sargasuli-tower-isar-lat
21,Garh Ganesh Temple,/rajasthan/jaipur/garh-ganesh-temple
22,Srijagat Siromaniji Temple,/rajasthan/jaipur/srijagat-siromaniji-temple
23,Statue Circle / Sawai Jai Singh Circle,/rajasthan/jaipur/statue-circle-sawai-jai-singh-circle
24,Jawahar Circle Garden,/rajasthan/jaipur/jawahar-circle-garden
25,Amar Jawan Jyoti,/rajasthan/jaipur/amar-jawan-jyoti
26,Jama Masjid / Akbari Mosque - Amer,/rajasthan/jaipur/jama-masjid-akbari-mosque-amer
27,Central Park,/rajasthan/jaipur/central-park
28,SRC Museum Of Indology,/rajasthan/jaipur/src-museum-of-indology
29,Jaigarh Fort,/rajasthan/jaipur/jaigarh-fort
30,Jal Mahal,/rajasthan/jaipur/jal-mahal
31,Rambagh Palace,/rajasthan/jaipur/rambagh-palace
