,City,Link
0,Jaisalmer Fort,/rajasthan/jaisalmer/jaisalmer-fort
1,Sam Sand Dunes,/rajasthan/jaisalmer/sam-sand-dunes
2,Patwon Ki Haveli,/rajasthan/jaisalmer/patwon-ki-haveli
3,Jain Temples - Jaisalmer Fort,/rajasthan/jaisalmer/jain-temples-jaisalmer-fort
4,Gadisar Lake / Gadsisar Lake,/rajasthan/jaisalmer/gadisar-lake-gadsisar-lake
5,Desert National Park,/rajasthan/jaisalmer/desert-national-park
6,Desert Cultural Centre & Museum,/rajasthan/jaisalmer/desert-cultural-centre-museum
7,Lodurva,/rajasthan/jaisalmer/lodurva
8,Tazia Tower,/rajasthan/jaisalmer/tazia-tower
9,Bada Bagh / Bara Bagh,/rajasthan/jaisalmer/bada-bagh-bara-bagh
10,Salim Singh Ki Haveli,/rajasthan/jaisalmer/salim-singh-ki-haveli
11,Nathmalji Ki Haveli,/rajasthan/jaisalmer/nathmalji-ki-haveli
12,Kuldhara,/rajasthan/jaisalmer/kuldhara
13,Jaisalmer War Museum,/rajasthan/jaisalmer/jaisalmer-war-museum
14,Folklore Museum,/rajasthan/jaisalmer/folklore-museum
15,Akal Wood Fossil Park,/rajasthan/jaisalmer/akal-wood-fossil-park
16,Khaba Fort,/rajasthan/jaisalmer/khaba-fort
17,Khuri Sand Dunes,/rajasthan/jaisalmer/khuri-sand-dunes
18,Manak Chowk,/rajasthan/jaisalmer/manak-chowk
