,City,Link
0,Bijrani Jeep Safari,/uttarakhand/jim-corbett-national-park/bijrani-jeep-safari
1,Garjiya Devi Temple,/uttarakhand/jim-corbett-national-park/garjiya-devi-temple
2,Jhirna Jeep Safari,/uttarakhand/jim-corbett-national-park/jhirna-jeep-safari
3,Dhikala Jeep Safari / Canter Safari,/uttarakhand/jim-corbett-national-park/dhikala-jeep-safari-canter-safari
4,Bijrani Elephant Safari,/uttarakhand/jim-corbett-national-park/bijrani-elephant-safari
5,Durgadevi Jeep Safari / Elephant Safari,/uttarakhand/jim-corbett-national-park/durgadevi-jeep-safari-elephant-safari
6,Sitabani,/uttarakhand/jim-corbett-national-park/sitabani
7,Jim Corbett Museum,/uttarakhand/jim-corbett-national-park/jim-corbett-museum
8,"Corbett Falls, Near Nainital",/uttarakhand/nainital/corbett-falls
9,Nainital,/uttarakhand/nainital
