,City,Link
0,Mehrangarh Fort / Jodhpur Fort,/rajasthan/jodhpur/mehrangarh-fort-jodhpur-fort
1,Umaid Bhawan Palace & Museum,/rajasthan/jodhpur/umaid-bhawan-palace-museum
2,Jaswant Thada,/rajasthan/jodhpur/jaswant-thada
3,Sardar Government Museum - Jodhpur,/rajasthan/jodhpur/sardar-government-museum-jodhpur
4,Mandore Garden,/rajasthan/jodhpur/mandore-garden
5,Balsamand Lake,/rajasthan/jodhpur/balsamand-lake
6,Rao Jodha Desert Rock Park,/rajasthan/jodhpur/rao-jodha-desert-rock-park
7,Ghanta Ghar / Clock Tower,/rajasthan/jodhpur/ghanta-ghar-clock-tower
8,Mahamandir Temple,/rajasthan/jodhpur/mahamandir-temple
9,Sardar Samand Lake & Palace,/rajasthan/jodhpur/sardar-samand-lake-palace
10,Osian,/rajasthan/jodhpur/osian
11,Umaid Garden & Zoo,/rajasthan/jodhpur/umaid-garden-zoo
12,Siddhanth Shiv Temple,/rajasthan/jodhpur/siddhanth-shiv-temple
13,Kunj Bihari Temple,/rajasthan/jodhpur/kunj-bihari-temple
14,Rasik Bihari Temple / Naini Bai Ka Mandir,/rajasthan/jodhpur/rasik-bihari-temple-naini-bai-ka-mandir
15,Arna - Jharna Desert Museum,/rajasthan/jodhpur/arna-jharna-desert-museum
16,Machiya Safari Park,/rajasthan/jodhpur/machiya-safari-park
17,Kalyana Lake,/rajasthan/jodhpur/kalyana-lake
