,City,Link
0,Kamakshi Amman Temple,/tamilnadu/kanchipuram/kamakshi-amman-temple
1,Vaikunta Perumal Temple,/tamilnadu/kanchipuram/vaikunta-perumal-temple
2,Sri Ekambarnathar Temple,/tamilnadu/kanchipuram/sri-ekambarnathar-temple
3,Kailasanathar Temple,/tamilnadu/kanchipuram/kailasanathar-temple
4,Varadarajaswami Temple,/tamilnadu/kanchipuram/varadarajaswami-temple
5,"Kailasakona Waterfalls, Near Tirupati",/andhra/tirupati/kailasakona-waterfalls
6,Anna Memorial,/tamilnadu/kanchipuram/anna-memorial
7,Jaina Kanchi Or Tiruparuttikunram,/tamilnadu/kanchipuram/jaina-kanchi-or-tiruparuttikunram
8,Thiruttani,/tamilnadu/kanchipuram/thiruttani
9,Mahabalipuram,/tamilnadu/mahabalipuram
10,Arunachala Temple - Tiruvannamalai,/tamilnadu/kanchipuram/arunachala-temple-tiruvannamalai
11,"Sripuram, Near Vellore",/tamilnadu/vellore/sripuram
12,Vellore,/tamilnadu/vellore
13,"Gingee Fort, Near Vellore",/tamilnadu/vellore/gingee-fort
