,City,Link
0,Vivekananda Rock Memorial,/tamilnadu/kanyakumari/vivekananda-rock-memorial
1,Thiruvalluvar Statue,/tamilnadu/kanyakumari/thiruvalluvar-statue
2,Kumariamman Temple,/tamilnadu/kanyakumari/kumariamman-temple
3,Suchindram,/tamilnadu/kanyakumari/suchindram
4,Padmanabhapuram,/tamilnadu/kanyakumari/padmanabhapuram
5,Gandhi Memorial,/tamilnadu/kanyakumari/gandhi-memorial
6,Nagaraja Temple,/tamilnadu/kanyakumari/nagaraja-temple
7,Thiruparappu Waterfalls,/tamilnadu/kanyakumari/thiruparappu-waterfalls
8,Pechiparai Dam,/tamilnadu/kanyakumari/pechiparai-dam
9,Thiruchendur,/tamilnadu/kanyakumari/thiruchendur
10,Govt. Museum,/tamilnadu/kanyakumari/govt-museum
11,Kamaraj Memorial,/tamilnadu/kanyakumari/kamaraj-memorial
12,Vattakottai,/tamilnadu/kanyakumari/vattakottai
13,Chothavilai Beach,/tamilnadu/kanyakumari/chothavilai-beach
14,Udayagiri Fort,/tamilnadu/kanyakumari/udayagiri-fort
15,Sri Swayambulinga Swamy Temple,/tamilnadu/kanyakumari/sri-swayambulinga-swamy-temple
16,Kappal Matha Church,/tamilnadu/kanyakumari/kappal-matha-church
17,Adikesava Perumal Temple - Thiruvattaru,/tamilnadu/kanyakumari/adikesava-perumal-temple-thiruvattaru
18,"Kutralam Falls / Courtallam Falls, Near Tenkasi",/tamilnadu/tenkasi/kutralam-falls-courtallam-falls
19,Olakkay Aruvi Waterfalls,/tamilnadu/kanyakumari/olakkay-aruvi-waterfalls
