,City,Link
0,Kedarnath Temple,/uttarakhand/kedarnath/kedarnath-temple
1,Chorabari Tal / Gandhi Sarovar,/uttarakhand/kedarnath/chorabari-tal-gandhi-sarovar
2,Bhairavnath Temple,/uttarakhand/kedarnath/bhairavnath-temple
3,Tungnath,/uttarakhand/kedarnath/tungnath
4,Rudranath,/uttarakhand/kedarnath/rudranath
5,Madhyamaheshwar / Madmaheshwar,/uttarakhand/kedarnath/madhyamaheshwar-madmaheshwar
6,Kalpeshwar Temple,/uttarakhand/kedarnath/kalpeshwar-temple
7,Mayali Pass Trek,/uttarakhand/kedarnath/mayali-pass-trek
8,Gaurikund,/uttarakhand/kedarnath/gaurikund
9,Vasuki Tal,/uttarakhand/kedarnath/vasuki-tal
10,Adi Shakaracharya Samadhi,/uttarakhand/kedarnath/adi-shakaracharya-samadhi
11,Ukhimath,/uttarakhand/kedarnath/ukhimath
12,Agastmuni,/uttarakhand/kedarnath/agastmuni
13,Sonprayag,/uttarakhand/kedarnath/sonprayag
14,Chandrashila,/uttarakhand/kedarnath/chandrashila
15,Guptakashi,/uttarakhand/kedarnath/guptakashi
16,Triyuginarayan Temple,/uttarakhand/kedarnath/triyuginarayan-temple
17,Deoria Tal,/uttarakhand/kedarnath/deoria-tal
