,City,Link
0,Cochin Jewish Synagogue,/kerala/kochi/cochin-jewish-synagogue
1,Fort Kochi Beach,/kerala/kochi/fort-kochi-beach
2,Chinese Fishing Nets,/kerala/kochi/chinese-fishing-nets
3,Marine Drive,/kerala/kochi/marine-drive
4,Mangalavanam Bird Sanctuary,/kerala/kochi/mangalavanam-bird-sanctuary
5,St. George Ferona Church - Edappally,/kerala/kochi/st-george-ferona-church-edappally
6,Kumarakom,/kerala/kumarakom
7,St. Francis Church,/kerala/kochi/st-francis-church
8,Aluva Shiva Temple,/kerala/kochi/aluva-shiva-temple
9,Kodungallur,/kerala/kochi/kodungallur
10,Indira Gandhi Boat Race,/kerala/kochi/indira-gandhi-boat-race
11,Dutch Palace,/kerala/kochi/dutch-palace
12,Bolghatty Palace,/kerala/kochi/bolghatty-palace
13,Vypin Island,/kerala/kochi/vypin-island
14,St.Thomas Church - Malayatoor,/kerala/kochi/stthomas-church-malayatoor
15,Bhuthathankettu,/kerala/kochi/bhuthathankettu
16,Gallery Of Contemporary Art,/kerala/kochi/gallery-of-contemporary-art
17,Hill Palace Museum,/kerala/kochi/hill-palace-museum
18,Siva Temple - Pazhoor,/kerala/kochi/siva-temple-pazhoor
19,Thrikkakara Vamana Temple,/kerala/kochi/thrikkakara-vamana-temple
20,Munikkal Cave Temple,/kerala/kochi/munikkal-cave-temple
21,Salim Ali Bird Sanctuary,/kerala/kochi/salim-ali-bird-sanctuary
22,Edamalayar Dam,/kerala/kochi/edamalayar-dam
23,Ernakulam Shiva Temple,/kerala/kochi/ernakulam-shiva-temple
24,Kaladi,/kerala/kochi/kaladi
25,Museum Of Kerala History,/kerala/kochi/museum-of-kerala-history
26,Kalill Bhagvathy Temple,/kerala/kochi/kalill-bhagvathy-temple
27,Chendamangalam,/kerala/kochi/chendamangalam
28,Kodanad,/kerala/kochi/kodanad
29,Raja Rajeshwari Temple - Chottanikkara,/kerala/kochi/raja-rajeshwari-temple-chottanikkara
30,Sri Poornathrayeesa Temple - Tripunithura,/kerala/kochi/sri-poornathrayeesa-temple-tripunithura
31,Sri Mookambika Temple - Paravur,/kerala/kochi/sri-mookambika-temple-paravur
32,Chittoor Sri Krishna Temple,/kerala/kochi/chittoor-sri-krishna-temple
33,Santa Cruz Basilica,/kerala/kochi/santa-cruz-basilica
34,Our Lady Of Ransom Basilica - Vallarpadam,/kerala/kochi/our-lady-of-ransom-basilica-vallarpadam
35,Gundu Island,/kerala/kochi/gundu-island
36,Cherai Beach,/kerala/kochi/cherai-beach
37,Indo Portuguese Museum,/kerala/kochi/indo-portuguese-museum
38,Alleppey,/kerala/alleppey
