,City,Link
0,Kodai Lake,/tamilnadu/kodaikanal/kodai-lake
1,Coaker's Walk,/tamilnadu/kodaikanal/coakers-walk
2,Bryant Park,/tamilnadu/kodaikanal/bryant-park
3,Pillar Rocks,/tamilnadu/kodaikanal/pillar-rocks
4,Silver Cascade,/tamilnadu/kodaikanal/silver-cascade
5,Guna Cave,/tamilnadu/kodaikanal/guna-cave
6,Moir Point,/tamilnadu/kodaikanal/moir-point
7,Dolphin's Nose,/tamilnadu/kodaikanal/dolphins-nose
8,Bear Shola Falls,/tamilnadu/kodaikanal/bear-shola-falls
9,Berijam Lake,/tamilnadu/kodaikanal/berijam-lake
10,Palani,/tamilnadu/kodaikanal/palani
11,Chettiyar Park,/tamilnadu/kodaikanal/chettiyar-park
12,Kurinji Andavar Temple,/tamilnadu/kodaikanal/kurinji-andavar-temple
13,Shenbaganur Museum,/tamilnadu/kodaikanal/shenbaganur-museum
14,Perumal Peak,/tamilnadu/kodaikanal/perumal-peak
15,Kukkal Cave,/tamilnadu/kodaikanal/kukkal-cave
16,Munnar,/kerala/munnar
17,Pambar Falls,/tamilnadu/kodaikanal/pambar-falls
18,Fairy Falls,/tamilnadu/kodaikanal/fairy-falls
19,Thalaiyar Falls / Rat Tail Falls,/tamilnadu/kodaikanal/thalaiyar-falls-rat-tail-falls
