,City,Link
0,Raghunathji Temple,/himachal/kullu/raghunathji-temple
1,"Naggar Castle, Near Manali",/himachal/manali/naggar-castle
2,Manikaran,/himachal/kullu/manikaran
3,Dhakpo Shedrupling Monastery / Kais Monastery,/himachal/kullu/dhakpo-shedrupling-monastery-kais-monastery
4,Raison - River Rafting,/himachal/kullu/raison-river-rafting
5,Great Himalayan National Park,/himachal/kullu/great-himalayan-national-park
6,Bijli Mahadev Temple,/himachal/kullu/bijli-mahadev-temple
7,Jamula Temple - Malana,/himachal/kullu/jamula-temple-malana
8,Kasol,/himachal/kullu/kasol
9,Kheer Ganga / Khir Ganga,/himachal/kullu/kheer-ganga-khir-ganga
10,Tirthan Valley,/himachal/kullu/tirthan-valley
11,Basheshwar Mahadev Temple,/himachal/kullu/basheshwar-mahadev-temple
12,Dechen Choekhor Mahavihara Monastery,/himachal/kullu/dechen-choekhor-mahavihara-monastery
13,Hanogi Mata Temple,/himachal/kullu/hanogi-mata-temple
14,Jalori Pass,/himachal/kullu/jalori-pass
15,Jagannathi Temple - Bhekhli,/himachal/kullu/jagannathi-temple-bhekhli
16,Katrain,/himachal/kullu/katrain
17,Prashar / Parashar Lake And Temple,/himachal/kullu/prashar-parashar-lake-and-temple
18,Pandoh Dam,/himachal/kullu/pandoh-dam
19,Sultanpur Palace,/himachal/kullu/sultanpur-palace
20,Serolsar Lake,/himachal/kullu/serolsar-lake
21,Shringa Rishi Temple - Banjar,/himachal/kullu/shringa-rishi-temple-banjar
22,Shoja,/himachal/kullu/shoja
23,Chehni Kothi / Traditional Fort,/himachal/kullu/chehni-kothi-traditional-fort
24,Mata Vaishno Mahadevi Tirth Temple,/himachal/kullu/mata-vaishno-mahadevi-tirth-temple
25,"Jana Falls, Near Manali",/himachal/manali/jana-falls
26,"Gauri Shankar Temple - Naggar, Near Manali",/himachal/manali/gauri-shankar-temple-naggar
27,"Tripura Sundari Temple - Naggar, Near Manali",/himachal/manali/tripura-sundari-temple-naggar
28,"Arjun Gufa, Near Manali",/himachal/manali/arjun-gufa
29,"Nicholas Roerich Art Gallery And Museum, Near Manali",/himachal/manali/nicholas-roerich-art-gallery-and-museum
30,"Uruswati Himalayan Folk Art Museum, Near Manali",/himachal/manali/uruswati-himalayan-folk-art-museum
31,Manali,/himachal/manali
