,City,Link
0,Backwater Cruises,/kerala/kumarakom/backwater-cruises
1,Pathiramanal Island,/kerala/kumarakom/pathiramanal-island
2,Kumarakom Bird Sanctuary,/kerala/kumarakom/kumarakom-bird-sanctuary
3,Sri Kumaramangalam Temple,/kerala/kumarakom/sri-kumaramangalam-temple
4,Kumarakom Boat Race,/kerala/kumarakom/kumarakom-boat-race
5,Vaikom,/kerala/kumarakom/vaikom
6,Kottayam,/kerala/kottayam
7,"Vagamon, Near Idukki",/kerala/idukki/vagamon
8,"Malankara Dam, Near Idukki",/kerala/idukki/malankara-dam
9,"Ilaveezha Poonchira, Near Idukki",/kerala/idukki/ilaveezha-poonchira
10,"Aranmula, Near Pathanamthitta",/kerala/pathanamthitta/aranmula
11,"Erumeli, Near Sabarimala",/kerala/sabarimala/erumeli
