,City,Link
0,Adi Kumbeswarar Temple,/tamilnadu/kumbakonam/adi-kumbeswarar-temple
1,Darasuram Airavatheswar Temple,/tamilnadu/kumbakonam/darasuram-airavatheswar-temple
2,Sarangapani Temple,/tamilnadu/kumbakonam/sarangapani-temple
3,Uppiliappan Temple / Oppilliappan Temple,/tamilnadu/kumbakonam/uppiliappan-temple-oppilliappan-temple
4,Mahalingaswamy Temple - Thiruvidaimaruthur,/tamilnadu/kumbakonam/mahalingaswamy-temple-thiruvidaimaruthur
5,Ramaswamy Temple,/tamilnadu/kumbakonam/ramaswamy-temple
6,Dhenupureeswarar Temple - Patteeswaram,/tamilnadu/kumbakonam/dhenupureeswarar-temple-patteeswaram
7,Suryanar Kovil / Suryanarayana Temple,/tamilnadu/kumbakonam/suryanar-kovil-suryanarayana-temple
8,Agneeswarar Temple / Kanjanur Sukran Temple,/tamilnadu/kumbakonam/agneeswarar-temple-kanjanur-sukran-temple
9,Mahamaham Tank,/tamilnadu/kumbakonam/mahamaham-tank
10,Nachiyar Kovil / Thirunaraiyur Nambi Temple,/tamilnadu/kumbakonam/nachiyar-kovil-thirunaraiyur-nambi-temple
11,Thirunageswaram Temple / Rahu Temple,/tamilnadu/kumbakonam/thirunageswaram-temple-rahu-temple
12,Kalyanasundareswarar Temple,/tamilnadu/kumbakonam/kalyanasundareswarar-temple
13,Swamimalai,/tamilnadu/kumbakonam/swamimalai
14,Thirubuvanam,/tamilnadu/kumbakonam/thirubuvanam
15,Chakrapani Temple,/tamilnadu/kumbakonam/chakrapani-temple
16,Nageswaran Temple,/tamilnadu/kumbakonam/nageswaran-temple
17,Sri Rajagopalaswamy Temple - Mannargudi,/tamilnadu/kumbakonam/sri-rajagopalaswamy-temple-mannargudi
18,Thanjavur,/tamilnadu/thanjavur
19,Chidambaram,/tamilnadu/chidambaram
20,Tiruchirappalli,/tamilnadu/tiruchirappalli
21,Karaikal,/pondicherry/karaikal
