,City,Link
0,Karla Caves,/maharashtra/lonavala/karla-caves
1,Lohagad Fort,/maharashtra/lonavala/lohagad-fort
2,Lions Point,/maharashtra/lonavala/lions-point
3,Rajmachi Point,/maharashtra/lonavala/rajmachi-point
4,Bhaja Caves,/maharashtra/lonavala/bhaja-caves
5,Tiger's Leap / Tiger's Point,/maharashtra/lonavala/tigers-leap-tigers-point
6,Pawna Lake,/maharashtra/lonavala/pawna-lake
7,Kune Falls,/maharashtra/lonavala/kune-falls
8,Rajmachi Fort,/maharashtra/lonavala/rajmachi-fort
9,Karnala Bird Sanctuary,/maharashtra/lonavala/karnala-bird-sanctuary
10,Bhushi Dam,/maharashtra/lonavala/bhushi-dam
11,Bedse Caves,/maharashtra/lonavala/bedse-caves
12,Lonavala Lake,/maharashtra/lonavala/lonavala-lake
13,Visapur Fort,/maharashtra/lonavala/visapur-fort
14,Tikona Fort,/maharashtra/lonavala/tikona-fort
15,Tung Fort,/maharashtra/lonavala/tung-fort
16,Korigad Fort,/maharashtra/lonavala/korigad-fort
17,Valvan Dam,/maharashtra/lonavala/valvan-dam
18,Celebrity Wax Museum,/maharashtra/lonavala/celebrity-wax-museum
19,Sri Narayani Dham Temple,/maharashtra/lonavala/sri-narayani-dham-temple
20,Duke's Nose Point,/maharashtra/lonavala/dukes-nose-point
21,Khandala,/maharashtra/lonavala/khandala
