,City,Link
0,Sri Meenakshi Sundareswarar Temple,/tamilnadu/madurai/sri-meenakshi-sundareswarar-temple
1,Thirumalai Nayak Mahal,/tamilnadu/madurai/thirumalai-nayak-mahal
2,Koodal Alagar Temple,/tamilnadu/madurai/koodal-alagar-temple
3,Thirupparankundram Temple,/tamilnadu/madurai/thirupparankundram-temple
4,Alagar Koil,/tamilnadu/madurai/alagar-koil
5,Srivilliputhur Andal Temple,/tamilnadu/madurai/srivilliputhur-andal-temple
6,Gandhi Museum,/tamilnadu/madurai/gandhi-museum
7,Vandiyur Mariamman Temple,/tamilnadu/madurai/vandiyur-mariamman-temple
8,Narasingam,/tamilnadu/madurai/narasingam
9,Pazhamudhir Solai,/tamilnadu/madurai/pazhamudhir-solai
10,Vaigai Dam,/tamilnadu/madurai/vaigai-dam
11,Kumbakkarai Waterfalls,/tamilnadu/madurai/kumbakkarai-waterfalls
12,Suruli Waterfalls,/tamilnadu/madurai/suruli-waterfalls
13,Kodaikanal,/tamilnadu/kodaikanal
