,City,Link
0,Elephant's Head Point & Kate's Point,/maharashtra/mahabaleshwar/elephants-head-point-kates-point
1,Lingmala Waterfall,/maharashtra/mahabaleshwar/lingmala-waterfall
2,Arthur Seat Point,/maharashtra/mahabaleshwar/arthur-seat-point
3,Mapro Garden,/maharashtra/mahabaleshwar/mapro-garden
4,Venna Dam / Lake,/maharashtra/mahabaleshwar/venna-dam-lake
5,Pratapgad Fort / Pratapgarh Fort,/maharashtra/mahabaleshwar/pratapgad-fort-pratapgarh-fort
6,Mahabaleshwar Mandir,/maharashtra/mahabaleshwar/mahabaleshwar-mandir
7,Krishnabai Temple / Krishna Devi Temple,/maharashtra/mahabaleshwar/krishnabai-temple-krishna-devi-temple
8,"Kas Pathar / Kaas Plateau, Near Satara",/maharashtra/satara/kas-pathar-kaas-plateau
9,"Vajrai Falls, Near Satara",/maharashtra/satara/vajrai-falls
10,Panchgani,/maharashtra/panchgani
11,Elphinstone Point,/maharashtra/mahabaleshwar/elphinstone-point
12,Raigad Fort,/maharashtra/mahabaleshwar/raigad-fort
13,Lodwick Point,/maharashtra/mahabaleshwar/lodwick-point
14,Bombay Point / Sunset Point,/maharashtra/mahabaleshwar/bombay-point-sunset-point
15,Savitri Point,/maharashtra/mahabaleshwar/savitri-point
16,Panch Ganga / Panchganga Temple,/maharashtra/mahabaleshwar/panch-ganga-panchganga-temple
17,Dhobi Waterfall,/maharashtra/mahabaleshwar/dhobi-waterfall
18,Chinaman's Waterfall,/maharashtra/mahabaleshwar/chinamans-waterfall
19,Wilson Point / Sunrise Point,/maharashtra/mahabaleshwar/wilson-point-sunrise-point
20,Connaught Peak,/maharashtra/mahabaleshwar/connaught-peak
21,Tapola,/maharashtra/mahabaleshwar/tapola
22,Raigad Museum,/maharashtra/mahabaleshwar/raigad-museum
23,Gandharpale / Pale Caves,/maharashtra/mahabaleshwar/gandharpale-pale-caves
