,City,Link
0,Shore Temple,/tamilnadu/mahabalipuram/shore-temple
1,Arjuna's Penance,/tamilnadu/mahabalipuram/arjunas-penance
2,Mandapams / Caves,/tamilnadu/mahabalipuram/mandapams-caves
3,Pancha Rathas,/tamilnadu/mahabalipuram/pancha-rathas
4,Mahabalipuram Beach,/tamilnadu/mahabalipuram/mahabalipuram-beach
5,Krishna's Butter Ball,/tamilnadu/mahabalipuram/krishnas-butter-ball
6,Ganesha Ratha,/tamilnadu/mahabalipuram/ganesha-ratha
7,Sculpture Museum,/tamilnadu/mahabalipuram/sculpture-museum
8,Tiger Caves,/tamilnadu/mahabalipuram/tiger-caves
9,Sadras Beach Resort,/tamilnadu/mahabalipuram/sadras-beach-resort
10,Covelong Beach,/tamilnadu/mahabalipuram/covelong-beach
11,Crocodile & Snake Bank,/tamilnadu/mahabalipuram/crocodile-snake-bank
12,Thirukkalukundram (Pakshitheertham),/tamilnadu/mahabalipuram/thirukkalukundram
13,Nithya Kalyana Perumal Temple,/tamilnadu/mahabalipuram/nithya-kalyana-perumal-temple
14,Mudaliar Kuppam,/tamilnadu/mahabalipuram/mudaliar-kuppam
15,Vedanthangal Bird Sanctuary,/tamilnadu/mahabalipuram/vedanthangal-bird-sanctuary
16,"Muttukadu & Dakshina Chitra, Near Chennai",/tamilnadu/chennai/muttukadu-dakshina-chitra
17,"V.G.P. Golden Beach, Near Chennai",/tamilnadu/chennai/vgp-golden-beach
18,Kanchipuram,/tamilnadu/kanchipuram
