,City,Link
0,"Raison - River Rafting, Near Kullu",/himachal/kullu/raison-river-rafting
1,"Manikaran, Near Kullu",/himachal/kullu/manikaran
2,Jogini Waterfalls,/himachal/manali/jogini-waterfalls
3,Hidimbi Devi Temple,/himachal/manali/hidimbi-devi-temple
4,Manu Temple,/himachal/manali/manu-temple
5,Naggar Castle,/himachal/manali/naggar-castle
6,Rohtang Pass,/himachal/manali/rohtang-pass
7,Solang Valley,/himachal/manali/solang-valley
8,Vashisht Temple & Hot Water Springs,/himachal/manali/vashisht-temple-hot-water-springs
9,"Katrain, Near Kullu",/himachal/kullu/katrain
10,"Dhakpo Shedrupling Monastery / Kais Monastery, Near Kullu",/himachal/kullu/dhakpo-shedrupling-monastery-kais-monastery
11,Chandra Tal Trek,/himachal/manali/chandra-tal-trek
12,Manali Wildlife Sanctuary,/himachal/manali/manali-wildlife-sanctuary
13,Siyali Mahadev Temple,/himachal/manali/siyali-mahadev-temple
14,Rozy Falls,/himachal/manali/rozy-falls
15,Chanderkhani Pass Trek,/himachal/manali/chanderkhani-pass-trek
16,Hampta Pass Trek,/himachal/manali/hampta-pass-trek
17,Bara Bhangal Trek,/himachal/manali/bara-bhangal-trek
18,Patalsu Peak,/himachal/manali/patalsu-peak
19,Sethan,/himachal/manali/sethan
20,Kullu,/himachal/kullu
21,Arjun Gufa,/himachal/manali/arjun-gufa
22,Beas Kund Trek,/himachal/manali/beas-kund-trek
23,Bhrigu Lake Trek,/himachal/manali/bhrigu-lake-trek
24,Deo Tibba Trek,/himachal/manali/deo-tibba-trek
25,Gauri Shankar Temple - Naggar,/himachal/manali/gauri-shankar-temple-naggar
26,Gauri Shankar Temple - Dashal,/himachal/manali/gauri-shankar-temple-dashal
27,Gulaba,/himachal/manali/gulaba
28,Jagatsukh,/himachal/manali/jagatsukh
29,Jana Falls,/himachal/manali/jana-falls
30,Kothi Village,/himachal/manali/kothi-village
31,Krishna Temple / Muralidhar Temple - Thawa,/himachal/manali/krishna-temple-muralidhar-temple-thawa
32,Museum Of Himachal Culture & Folk Art,/himachal/manali/museum-of-himachal-culture-folk-art
33,Nehru Kund,/himachal/manali/nehru-kund
34,Nicholas Roerich Art Gallery And Museum,/himachal/manali/nicholas-roerich-art-gallery-and-museum
35,Pin Valley National Park,/himachal/manali/pin-valley-national-park
36,Rahala Falls,/himachal/manali/rahala-falls
37,Tibetan Monasteries - Manali,/himachal/manali/tibetan-monasteries-manali
38,Tripura Sundari Temple - Naggar,/himachal/manali/tripura-sundari-temple-naggar
39,Van Vihar,/himachal/manali/van-vihar
40,Uruswati Himalayan Folk Art Museum,/himachal/manali/uruswati-himalayan-folk-art-museum
41,Losar Festival,/himachal/manali/losar-festival
42,Manali Winter Carnival,/himachal/manali/manali-winter-carnival
