,City,Link
0,Gateway of India,/maharashtra/mumbai/gateway-of-india
1,Chhatrapati Shivaji Terminus / Victoria Terminus,/maharashtra/mumbai/chhatrapati-shivaji-terminus-victoria-terminus
2,Sri Siddhivinayak Temple,/maharashtra/mumbai/sri-siddhivinayak-temple
3,Elephanta Caves,/maharashtra/mumbai/elephanta-caves
4,Juhu Beach,/maharashtra/mumbai/juhu-beach
5,Marine Drive,/maharashtra/mumbai/marine-drive
6,Sri Babulnath Temple,/maharashtra/mumbai/sri-babulnath-temple
7,Bandra - Worli Sea Link,/maharashtra/mumbai/bandra-worli-sea-link
8,Prince Of Wales Museum,/maharashtra/mumbai/prince-of-wales-museum
9,Haji Ali Dargah,/maharashtra/mumbai/haji-ali-dargah
10,Kanheri Caves,/maharashtra/mumbai/kanheri-caves
11,Mount Mary Church,/maharashtra/mumbai/mount-mary-church
12,ISKCON Temple,/maharashtra/mumbai/iskcon-temple
13,Chowpatty Beach / Girgaon Chowpatty,/maharashtra/mumbai/chowpatty-beach-girgaon-chowpatty
14,Mahalakshmi Temple,/maharashtra/mumbai/mahalakshmi-temple
15,Jehangir Art Gallery,/maharashtra/mumbai/jehangir-art-gallery
16,Hanging Gardens / Kamla Nehru Park,/maharashtra/mumbai/hanging-gardens-kamla-nehru-park
17,Mani Bhavan Gandhi Sangrahalaya / Gandhi Museum,/maharashtra/mumbai/mani-bhavan-gandhi-sangrahalaya-gandhi-museum
18,Taraporewala Aquarium,/maharashtra/mumbai/taraporewala-aquarium
19,Nehru Science Centre,/maharashtra/mumbai/nehru-science-centre
20,Sanjay Gandhi National Park,/maharashtra/mumbai/sanjay-gandhi-national-park
21,Bandra Fort,/maharashtra/mumbai/bandra-fort
22,Madh Fort / Versova Fort,/maharashtra/mumbai/madh-fort-versova-fort
23,Vasai Fort,/maharashtra/mumbai/vasai-fort
24,Jama Masjid,/maharashtra/mumbai/jama-masjid
25,Bhau Daji Lad Museum / Victoria & Albert Museum,/maharashtra/mumbai/bhau-daji-lad-museum-victoria-albert-museum
26,Malshej Ghat,/maharashtra/malshej-ghat
27,Matheran,/maharashtra/matheran
28,Lonavala,/maharashtra/lonavala
29,Mahabaleshwar,/maharashtra/mahabaleshwar
30,Panchgani,/maharashtra/panchgani
31,"Karnala Bird Sanctuary, Near Lonavala",/maharashtra/lonavala/karnala-bird-sanctuary
32,"Raigad Fort, Near Mahabaleshwar",/maharashtra/mahabaleshwar/raigad-fort
