,City,Link
0,Mattupetty Dam,/kerala/munnar/mattupetty-dam
1,Rajamalai / Eravikulam National Park,/kerala/munnar/rajamalai-eravikulam-national-park
2,Pothamedu Viewpoint,/kerala/munnar/pothamedu-viewpoint
3,Tea Museum,/kerala/munnar/tea-museum
4,Top Station,/kerala/munnar/top-station
5,Photo Point,/kerala/munnar/photo-point
6,Kundala Lake,/kerala/munnar/kundala-lake
7,Devikulam,/kerala/munnar/devikulam
8,Echo Point,/kerala/munnar/echo-point
9,Lock Heart Gap / Lockhard Gap,/kerala/munnar/lock-heart-gap-lockhard-gap
10,Nyayamakad Waterfalls,/kerala/munnar/nyayamakad-waterfalls
11,Marayoor,/kerala/marayoor
12,Pollachi,/tamilnadu/pollachi
13,Idukki,/kerala/idukki
14,"Thommankuthu Waterfalls, Near Idukki",/kerala/idukki/thommankuthu-waterfalls
15,"Kalvari Mount / Calvary Mount, Near Idukki",/kerala/idukki/kalvari-mount-calvary-mount
16,"Keezharkuthu Falls / Rainbow Waterfalls, Near Idukki",/kerala/idukki/keezharkuthu-falls-rainbow-waterfalls
17,"Malankara Dam, Near Idukki",/kerala/idukki/malankara-dam
18,"Chinnar Wildlife Sanctuary, Near Marayoor",/kerala/marayoor/chinnar-wildlife-sanctuary
19,"Thoovanam Waterfalls, Near Marayoor",/kerala/marayoor/thoovanam-waterfalls
20,"Lakkam Waterfalls, Near Marayoor",/kerala/marayoor/lakkam-waterfalls
21,Anamudi Peak,/kerala/munnar/anamudi-peak
22,Chinnakanal Waterfalls / Power House Falls,/kerala/munnar/chinnakanal-waterfalls-power-house-falls
23,Cheeyappara Waterfalls,/kerala/munnar/cheeyappara-waterfalls
24,Valara Waterfalls,/kerala/munnar/valara-waterfalls
25,Nadukani,/kerala/munnar/nadukani
26,Anayirankal Dam,/kerala/munnar/anayirankal-dam
27,Kuthumkal Waterfalls,/kerala/munnar/kuthumkal-waterfalls
28,Kodaikanal,/tamilnadu/kodaikanal
29,Atukkad Waterfalls,/kerala/munnar/atukkad-waterfalls
30,Chokramudi Peak,/kerala/munnar/chokramudi-peak
31,Kolukkumalai Tea Estate,/kerala/munnar/kolukkumalai-tea-estate
32,Blossom International Park,/kerala/munnar/blossom-international-park
33,Meesapulimala,/kerala/munnar/meesapulimala
34,Pallivasal Falls,/kerala/munnar/pallivasal-falls
35,Kalari Kshethra,/kerala/munnar/kalari-kshethra
36,CSI Christ Church,/kerala/munnar/csi-christ-church
37,Ripple Waterfalls,/kerala/munnar/ripple-waterfalls
38,Chengulam / Sengulam Dam,/kerala/munnar/chengulam-sengulam-dam
39,Rose Garden,/kerala/munnar/rose-garden
40,Carmelagiri Elephant Park,/kerala/munnar/carmelagiri-elephant-park
41,Mathikettan Shola National Park,/kerala/munnar/mathikettan-shola-national-park
42,Kallippara Sunset Point,/kerala/munnar/kallippara-sunset-point
