,City,Link
0,Murudeshwar Temple,/karnataka/murudeshwar/murudeshwar-temple
1,Lord Shiva Statue,/karnataka/murudeshwar/lord-shiva-statue
2,Murudeshwar Beach,/karnataka/murudeshwar/murudeshwar-beach
3,Kollur Mookambika Temple,/karnataka/murudeshwar/kollur-mookambika-temple
4,Idagunji Ganapati Temple,/karnataka/murudeshwar/idagunji-ganapati-temple
5,Apsara Konda Falls,/karnataka/murudeshwar/apsara-konda-falls
6,"Mirjan Fort, Near Gokarna",/karnataka/gokarna/mirjan-fort
7,Gokarna,/karnataka/gokarna
8,Basavaraja Durga Fort,/karnataka/murudeshwar/basavaraja-durga-fort
9,Bhatkal,/karnataka/murudeshwar/bhatkal
10,Netrani Island,/karnataka/murudeshwar/netrani-island
11,Maravanthe Beach,/karnataka/murudeshwar/maravanthe-beach
12,Baindur / Byndoor,/karnataka/murudeshwar/baindur-byndoor
13,Kudumari / Chaktikal Waterfalls,/karnataka/murudeshwar/kudumari-chaktikal-waterfalls
14,Koosalli Waterfalls,/karnataka/murudeshwar/koosalli-waterfalls
15,Arisina Gundi Falls,/karnataka/murudeshwar/arisina-gundi-falls
16,Hidlumane Falls,/karnataka/murudeshwar/hidlumane-falls
17,Kodachadri,/karnataka/murudeshwar/kodachadri
18,Udupi,/karnataka/udupi
