,City,Link
0,Kempty Falls,/uttarakhand/mussoorie/kempty-falls
1,Camel's Back Road,/uttarakhand/mussoorie/camels-back-road
2,Lal Tibba,/uttarakhand/mussoorie/lal-tibba
3,Company Bagh / Municipal Garden,/uttarakhand/mussoorie/company-bagh-municipal-garden
4,Cloud's End,/uttarakhand/mussoorie/clouds-end
5,Dhanaulti,/uttarakhand/mussoorie/dhanaulti
6,Bhatta Falls,/uttarakhand/mussoorie/bhatta-falls
7,Mussoorie Lake,/uttarakhand/mussoorie/mussoorie-lake
8,Happy Valley / Tibetan Buddhist Temple,/uttarakhand/mussoorie/happy-valley-tibetan-buddhist-temple
9,George Everest's House / Park Estate,/uttarakhand/mussoorie/george-everests-house-park-estate
10,Jwala Devi Temple,/uttarakhand/mussoorie/jwala-devi-temple
11,Benog Wildlife Sanctuary,/uttarakhand/mussoorie/benog-wildlife-sanctuary
12,Christ Church,/uttarakhand/mussoorie/christ-church
13,St. Paul's Church,/uttarakhand/mussoorie/st-pauls-church
14,Kellogg Memorial Church,/uttarakhand/mussoorie/kellogg-memorial-church
15,Surkanda Devi Temple,/uttarakhand/mussoorie/surkanda-devi-temple
16,Bhadraj Temple Trek,/uttarakhand/mussoorie/bhadraj-temple-trek
17,Lakhamandal,/uttarakhand/mussoorie/lakhamandal
18,Hathipaon,/uttarakhand/mussoorie/hathipaon
19,Mall Road,/uttarakhand/mussoorie/mall-road
20,Library Bazaar,/uttarakhand/mussoorie/library-bazaar
21,Lake Mist,/uttarakhand/mussoorie/lake-mist
