,City,Link
0,Mysore Palace,/karnataka/mysore/mysore-palace
1,Chamundi Hill Temple,/karnataka/mysore/chamundi-hill-temple
2,Mysore Zoo / Jayachamarajendra Zoological Gardens,/karnataka/mysore/mysore-zoo-jayachamarajendra-zoological-gardens
3,"Brindavan Gardens, Near Srirangapatna",/karnataka/srirangapatna/brindavan-gardens
4,Railway Museum,/karnataka/mysore/railway-museum
5,St. Philomena's Cathedral,/karnataka/mysore/st-philomenas-cathedral
6,Jagan Mohan Palace / Jayachamarajendra Art Gallery,/karnataka/mysore/jagan-mohan-palace-jayachamarajendra-art-gallery
7,Regional Museum Of Natural History,/karnataka/mysore/regional-museum-of-natural-history
8,Lalitha Mahal Palace,/karnataka/mysore/lalitha-mahal-palace
9,Kukkarahalli Lake,/karnataka/mysore/kukkarahalli-lake
10,Nagarhole National Park,/karnataka/nagarhole-national-park
11,Kabini,/karnataka/mysore/kabini
12,Private Residential Museum - Mysore Palace,/karnataka/mysore/private-residential-museum-mysore-palace
13,Shweta Varahaswamy Temple - Mysore Palace,/karnataka/mysore/shweta-varahaswamy-temple-mysore-palace
14,Prasanna Krishnaswamy Temple - Mysore Palace,/karnataka/mysore/prasanna-krishnaswamy-temple-mysore-palace
15,Lakshmiramana Swamy Temple - Mysore Palace,/karnataka/mysore/lakshmiramana-swamy-temple-mysore-palace
16,Jayalakshmi Vilas Mansion,/karnataka/mysore/jayalakshmi-vilas-mansion
17,Vasantha Mahal Palace,/karnataka/mysore/vasantha-mahal-palace
18,Cheluvamba Mansion,/karnataka/mysore/cheluvamba-mansion
19,Chikkadevamma Hill / Chikka Devammana Betta,/karnataka/mysore/chikkadevamma-hill-chikka-devammana-betta
20,"Sangama & Mekedatu, Near Bangalore",/karnataka/bangalore/sangama-mekedatu
21,"Chunchi Falls, Near Bangalore",/karnataka/bangalore/chunchi-falls
22,"Bilikal Rangaswamy Betta, Near Bangalore",/karnataka/bangalore/bilikal-rangaswamy-betta
23,Melukote / Melkote,/karnataka/mysore/melukote-melkote
24,Biligiri Ranga Hills / BR Hills,/karnataka/mysore/biligiri-ranga-hills-br-hills
25,Lingabudi Lake,/karnataka/mysore/lingabudi-lake
26,Karanji Lake,/karnataka/mysore/karanji-lake
27,Nanjundeshwara Temple - Nanjangud,/karnataka/mysore/nanjundeshwara-temple-nanjangud
28,Male Mahadeshwara Betta / MM Hills,/karnataka/mysore/male-mahadeshwara-betta-mm-hills
29,Gunja Narasimha Swamy Temple - T.Narasipura,/karnataka/mysore/gunja-narasimha-swamy-temple-tnarasipura
30,"Ranganathittu Bird Sanctuary, Near Srirangapatna",/karnataka/srirangapatna/ranganathittu-bird-sanctuary
31,Chunchanakatte Falls,/karnataka/mysore/chunchanakatte-falls
32,Srirangapatna,/karnataka/srirangapatna
33,Bheemeshwari,/karnataka/mysore/bheemeshwari
34,Kokkare Bellur Bird Sanctuary,/karnataka/mysore/kokkare-bellur-bird-sanctuary
35,Somnathpur,/karnataka/somnathpur
36,"Talakadu, Near Somnathpur",/karnataka/somnathpur/talakadu
37,Shivanasamudra Falls,/karnataka/shivanasamudra-falls
38,Bandipur National Park,/karnataka/bandipur-national-park
39,Shravanabelagola,/karnataka/shravanabelagola
40,Ooty,/tamilnadu/ooty
41,Bangalore,/karnataka/bangalore
42,"Kunti Betta, Near Srirangapatna",/karnataka/srirangapatna/kunti-betta
43,Irupu Falls,/karnataka/irupu-falls
44,"Mudumalai Wildlife Sanctuary, Near Ooty",/tamilnadu/ooty/mudumalai-wildlife-sanctuary
