,City,Link
0,Nainital Lake / Naini Lake,/uttarakhand/nainital/nainital-lake-naini-lake
1,Naina Peak / China Peak,/uttarakhand/nainital/naina-peak-china-peak
2,Naina Devi Temple,/uttarakhand/nainital/naina-devi-temple
3,Sattal / Sat Tal,/uttarakhand/nainital/sattal-sat-tal
4,Bhimtal,/uttarakhand/nainital/bhimtal
5,Mall Road,/uttarakhand/nainital/mall-road
6,Tiffin Top / Dorothy's Seat,/uttarakhand/nainital/tiffin-top-dorothys-seat
7,High Altitude Zoo,/uttarakhand/nainital/high-altitude-zoo
8,Snow View Point,/uttarakhand/nainital/snow-view-point
9,Kainchi Dham,/uttarakhand/nainital/kainchi-dham
10,Tibetan Market / Bhotia Market,/uttarakhand/nainital/tibetan-market-bhotia-market
11,Pashan Devi Temple,/uttarakhand/nainital/pashan-devi-temple
12,Jim Corbett National Park,/uttarakhand/jim-corbett-national-park
13,Himalaya Darshan Point,/uttarakhand/nainital/himalaya-darshan-point
14,Lovers Point,/uttarakhand/nainital/lovers-point
15,Naukuchia Taal,/uttarakhand/nainital/naukuchia-taal
16,Sariyatal,/uttarakhand/nainital/sariyatal
17,Pangot And Kilbury Bird Sanctuary,/uttarakhand/nainital/pangot-and-kilbury-bird-sanctuary
18,Aryabhatta Research Institute Of Observational Sci,/uttarakhand/nainital/aryabhatta-research-institute-of-observational-sci
19,Corbett Falls,/uttarakhand/nainital/corbett-falls
20,Ramgarh,/uttarakhand/nainital/ramgarh
21,Jeolikot,/uttarakhand/nainital/jeolikot
22,Jim Corbett Gurney House,/uttarakhand/nainital/jim-corbett-gurney-house
23,Eco Cave Garden,/uttarakhand/nainital/eco-cave-garden
24,Land's End,/uttarakhand/nainital/lands-end
25,St John Wilderness Church,/uttarakhand/nainital/st-john-wilderness-church
26,Raj Bhawan,/uttarakhand/nainital/raj-bhawan
27,Hanuman Garhi,/uttarakhand/nainital/hanuman-garhi
28,Khurpa Taal / Khurpatal,/uttarakhand/nainital/khurpa-taal-khurpatal
29,Mukteshwar Dham,/uttarakhand/nainital/mukteshwar-dham
30,Peora,/uttarakhand/nainital/peora
31,Jama Masjid,/uttarakhand/nainital/jama-masjid
32,Eco Cave Garden,/uttarakhand/nainital/eco-cave-garden
