,City,Link
0,Ram Kund,/maharashtra/nashik/ram-kund
1,Muktidham Mandir,/maharashtra/nashik/muktidham-mandir
2,Sri Dharmachakra Prabhav Tirth Jain Mandir,/maharashtra/nashik/sri-dharmachakra-prabhav-tirth-jain-mandir
3,Sri Kalaram Mandir,/maharashtra/nashik/sri-kalaram-mandir
4,Sita Gufaa / Sita Gumpha,/maharashtra/nashik/sita-gufaa-sita-gumpha
5,Trimbakeshwar / Tryambakeswar,/maharashtra/nashik/trimbakeshwar-tryambakeswar
6,Someshwar Waterfalls / Dudhsagar Falls,/maharashtra/nashik/someshwar-waterfalls-dudhsagar-falls
7,Pandavleni Caves,/maharashtra/nashik/pandavleni-caves
8,Sundarnarayan Temple,/maharashtra/nashik/sundarnarayan-temple
9,Someshwar Temple,/maharashtra/nashik/someshwar-temple
10,Coin Museum,/maharashtra/nashik/coin-museum
11,Sula Vineyards,/maharashtra/nashik/sula-vineyards
12,Saptashrungi Devi Temple,/maharashtra/nashik/saptashrungi-devi-temple
13,Anjaneri Hill,/maharashtra/nashik/anjaneri-hill
14,Sinnar,/maharashtra/nashik/sinnar
15,Dugarwadi Waterfall,/maharashtra/nashik/dugarwadi-waterfall
16,Ramshej Fort,/maharashtra/nashik/ramshej-fort
17,Brahmagiri Hill,/maharashtra/nashik/brahmagiri-hill
18,Dabhosa Waterfall,/maharashtra/nashik/dabhosa-waterfall
19,Harihar Fort,/maharashtra/nashik/harihar-fort
20,Bhandardara,/maharashtra/bhandardara
21,Igatpuri,/maharashtra/igatpuri
