,City,Link
0,Calangute Beach,/goa/panjim/calangute-beach
1,Baga Beach,/goa/panjim/baga-beach
2,Basilica Of Bom Jesus,/goa/panjim/basilica-of-bom-jesus
3,Aguada Fort,/goa/panjim/aguada-fort
4,Vagator Beach,/goa/panjim/vagator-beach
5,Shri Mangueshi Temple / Mangeshi Temple,/goa/panjim/shri-mangueshi-temple-mangeshi-temple
6,Colva Beach,/goa/panjim/colva-beach
7,Se Cathedral,/goa/panjim/se-cathedral
8,Reis Mogos Fort,/goa/panjim/reis-mogos-fort
9,River Cruise - Mandovi River,/goa/panjim/river-cruise-mandovi-river
10,Dudhsagar Waterfalls,/goa/panjim/dudhsagar-waterfalls
11,Anjuna Beach,/goa/panjim/anjuna-beach
12,Chapora Fort,/goa/panjim/chapora-fort
13,Shri Shantadurga Temple - Kavlem,/goa/panjim/shri-shantadurga-temple-kavlem
14,St. Augustine Tower / Church Of St. Augustin,/goa/panjim/st-augustine-tower-church-of-st-augustin
15,Shri Mahalaxmi Temple - Bandora,/goa/panjim/shri-mahalaxmi-temple-bandora
16,Palolem Beach,/goa/panjim/palolem-beach
17,Varca Beach,/goa/panjim/varca-beach
18,Vainguinim Beach,/goa/panjim/vainguinim-beach
19,Velsao Beach,/goa/panjim/velsao-beach
20,Colomb Beach,/goa/panjim/colomb-beach
21,Hansa Beach,/goa/panjim/hansa-beach
22,Polem Beach,/goa/panjim/polem-beach
23,Cabo De Rama Fort,/goa/panjim/cabo-de-rama-fort
24,Corjuem Fort,/goa/panjim/corjuem-fort
25,Mormugao Fort,/goa/panjim/mormugao-fort
26,Fort Terekhol,/goa/panjim/fort-terekhol
27,St. Francis Of Assisi Church,/goa/panjim/st-francis-of-assisi-church
28,Holy Spirit Church - Margao,/goa/panjim/holy-spirit-church-margao
29,Church Of Our Lady Of The Immaculate Conception,/goa/panjim/church-of-our-lady-of-the-immaculate-conception
30,Chapel Of St. Catherine - Old Goa,/goa/panjim/chapel-of-st-catherine-old-goa
31,Church Of Our Lady Of Rosary,/goa/panjim/church-of-our-lady-of-rosary
32,St. Cajetan Church,/goa/panjim/st-cajetan-church
33,Three Kings Church / Reis Mogos Church,/goa/panjim/three-kings-church-reis-mogos-church
34,Nossa Senhora De Penha De Franca - Betim,/goa/panjim/nossa-senhora-de-penha-de-franca-betim
35,Shri Mahalasa Temple - Mardol,/goa/panjim/shri-mahalasa-temple-mardol
36,Shri Nageshi Temple - Ponda,/goa/panjim/shri-nageshi-temple-ponda
37,Shri Ramnathi Temple / Shanteri Kamakshi Temple,/goa/panjim/shri-ramnathi-temple-shanteri-kamakshi-temple
38,Dr. Salim Ali Bird Sanctuary,/goa/panjim/dr-salim-ali-bird-sanctuary
39,Maruti Temple - Panjim,/goa/panjim/maruti-temple-panjim
40,Shri Shantadurga Kunkalikarin Temple - Fatorpa,/goa/panjim/shri-shantadurga-kunkalikarin-temple-fatorpa
41,Shri Kamakshi Temple - Shiroda,/goa/panjim/shri-kamakshi-temple-shiroda
42,Agonda Beach,/goa/panjim/agonda-beach
43,Arambol Beach / Harmal Beach,/goa/panjim/arambol-beach-harmal-beach
44,Arvalem Caves / Pandava Caves,/goa/panjim/arvalem-caves-pandava-caves
45,Arvalem Waterfalls,/goa/panjim/arvalem-waterfalls
46,Ashwem Beach,/goa/panjim/ashwem-beach
