,City,Link
0,Kanchenjunga Waterfalls,/sikkim/pelling/kanchenjunga-waterfalls
1,Pemayangtse Monastery,/sikkim/pelling/pemayangtse-monastery
2,Rabdentse Ruins,/sikkim/pelling/rabdentse-ruins
3,Khecheopalri Lake,/sikkim/pelling/khecheopalri-lake
4,Rimbi Waterfalls,/sikkim/pelling/rimbi-waterfalls
5,Sanga Choeling Monastery,/sikkim/pelling/sanga-choeling-monastery
6,Singshore Bridge,/sikkim/pelling/singshore-bridge
7,Gangtok,/sikkim/gangtok
8,Ravangla,/sikkim/ravangla
9,Namchi,/sikkim/namchi
10,Darjeeling,/west-bengal/darjeeling
11,Rimbi Orange Garden,/sikkim/pelling/rimbi-orange-garden
12,Tashiding Monastery,/sikkim/pelling/tashiding-monastery
13,Changey Waterfalls,/sikkim/pelling/changey-waterfalls
14,Yuksom,/sikkim/pelling/yuksom
15,Phamrong Falls,/sikkim/pelling/phamrong-falls
