,City,Link
0,Paradise Beach,/pondicherry/pondicherry/paradise-beach
1,Pondicherry Beach / Promenade Beach,/pondicherry/pondicherry/pondicherry-beach-promenade-beach
2,Matrimandir - Auroville,/pondicherry/pondicherry/matrimandir-auroville
3,Chunnambar Boat House,/pondicherry/pondicherry/chunnambar-boat-house
4,Sri Aurobindo Ashram,/pondicherry/pondicherry/sri-aurobindo-ashram
5,Pondicherry Museum,/pondicherry/pondicherry/pondicherry-museum
6,Botanical Garden,/pondicherry/pondicherry/botanical-garden
7,Bharathi Park / Government Park,/pondicherry/pondicherry/bharathi-park-government-park
8,Manakula Vinayagar Temple,/pondicherry/pondicherry/manakula-vinayagar-temple
9,Mahatma Gandhi Statue,/pondicherry/pondicherry/mahatma-gandhi-statue
10,Basilica Of Sacred Heart Of Jesus,/pondicherry/pondicherry/basilica-of-sacred-heart-of-jesus
11,Jawahar Toy Museum,/pondicherry/pondicherry/jawahar-toy-museum
12,French War Memorial,/pondicherry/pondicherry/french-war-memorial
13,Immaculate Conception Cathedral,/pondicherry/pondicherry/immaculate-conception-cathedral
14,Ananda Ranga Pillai Mansion,/pondicherry/pondicherry/ananda-ranga-pillai-mansion
15,Auroville Beach,/pondicherry/pondicherry/auroville-beach
16,Serenity Beach,/pondicherry/pondicherry/serenity-beach
17,Raj Niwas,/pondicherry/pondicherry/raj-niwas
18,Varadaraja Perumal Temple - Pondicherry,/pondicherry/pondicherry/varadaraja-perumal-temple-pondicherry
19,Varadaraja Perumal Temple - Villianur,/pondicherry/pondicherry/varadaraja-perumal-temple-villianur
20,Kokilambal Thirukameshwara Temple - Villianur,/pondicherry/pondicherry/kokilambal-thirukameshwara-temple-villianur
21,Kanniga Parameswari Temple,/pondicherry/pondicherry/kanniga-parameswari-temple
22,Statue Of Dupleix,/pondicherry/pondicherry/statue-of-dupleix
23,Romain Rolland Library,/pondicherry/pondicherry/romain-rolland-library
24,Church Of Our Lady Of Angels,/pondicherry/pondicherry/church-of-our-lady-of-angels
25,Ousteri Lake / Osudu Lake,/pondicherry/pondicherry/ousteri-lake-osudu-lake
26,Old Light House,/pondicherry/pondicherry/old-light-house
27,Arikamedu,/pondicherry/pondicherry/arikamedu
28,Meeran Mosque / Meerapalli,/pondicherry/pondicherry/meeran-mosque-meerapalli
