,City,Link
0,Shaniwar Wada Fort,/maharashtra/pune/shaniwar-wada-fort
1,Aga Khan Palace,/maharashtra/pune/aga-khan-palace
2,Dagdusheth Halwai Ganapathi Temple,/maharashtra/pune/dagdusheth-halwai-ganapathi-temple
3,Chaturshringi Temple,/maharashtra/pune/chaturshringi-temple
4,Sinhagad Fort,/maharashtra/pune/sinhagad-fort
5,Sarasbaug Ganapathi Temple,/maharashtra/pune/sarasbaug-ganapathi-temple
6,Bhimashankar Temple,/maharashtra/pune/bhimashankar-temple
7,Malshej Ghat,/maharashtra/malshej-ghat
8,Rajiv Gandhi Zoological Park / Katraj Snake Park,/maharashtra/pune/rajiv-gandhi-zoological-park-katraj-snake-park
9,Raja Dinkar Kelkar Museum,/maharashtra/pune/raja-dinkar-kelkar-museum
10,Pataleshwar Cave Temple,/maharashtra/pune/pataleshwar-cave-temple
11,Parvati Hill,/maharashtra/pune/parvati-hill
12,Shinde Chhatri,/maharashtra/pune/shinde-chhatri
13,Bund Garden,/maharashtra/pune/bund-garden
14,Rajgad Fort,/maharashtra/pune/rajgad-fort
15,Shivneri Fort,/maharashtra/pune/shivneri-fort
16,Jejuri,/maharashtra/pune/jejuri
17,Fort Jadhavgadh,/maharashtra/pune/fort-jadhavgadh
18,Sri Balaji Mandir - Narayanpur,/maharashtra/pune/sri-balaji-mandir-narayanpur
19,Lal Mahal,/maharashtra/pune/lal-mahal
20,Sri Mahalaxmi Temple,/maharashtra/pune/sri-mahalaxmi-temple
21,Bhuleshwar Temple,/maharashtra/pune/bhuleshwar-temple
22,Ranjangaon Maha Ganapati Mandir,/maharashtra/pune/ranjangaon-maha-ganapati-mandir
23,Junnar Caves,/maharashtra/pune/junnar-caves
24,St Mary's Church,/maharashtra/pune/st-marys-church
25,Mulshi Dam,/maharashtra/pune/mulshi-dam
26,Panshet Dam,/maharashtra/pune/panshet-dam
27,Moreshwar Temple,/maharashtra/pune/moreshwar-temple
28,Khadakwasla Dam,/maharashtra/pune/khadakwasla-dam
29,Tulsi Baug,/maharashtra/pune/tulsi-baug
30,Lonavala,/maharashtra/lonavala
31,Panchgani,/maharashtra/panchgani
32,Mahabaleshwar,/maharashtra/mahabaleshwar
33,Satara,/maharashtra/satara
34,"Raigad Fort, Near Mahabaleshwar",/maharashtra/mahabaleshwar/raigad-fort
