,City,Link
0,Sri Jagannath Temple,/orissa/puri/sri-jagannath-temple
1,Puri Beach,/orissa/puri/puri-beach
2,Gundicha Temple,/orissa/puri/gundicha-temple
3,Narendra Tank / Narendra Pokhari,/orissa/puri/narendra-tank-narendra-pokhari
4,Balghai Beach,/orissa/puri/balghai-beach
5,Sudarshan Craft Museum,/orissa/puri/sudarshan-craft-museum
6,Alarnatha Temple,/orissa/puri/alarnatha-temple
7,Lokanath Temple,/orissa/puri/lokanath-temple
8,Markandeshwara Temple,/orissa/puri/markandeshwara-temple
9,Bedi Hanuman Temple,/orissa/puri/bedi-hanuman-temple
10,Chilika Lake & Sanctuary,/orissa/puri/chilika-lake-sanctuary
11,Beleswar Beach,/orissa/puri/beleswar-beach
12,Raghurajpur Craft Village,/orissa/puri/raghurajpur-craft-village
13,Pipili,/orissa/puri/pipili
