,City,Link
0,Ramanatha Swamy Temple,/tamilnadu/rameshwaram/ramanatha-swamy-temple
1,Agniteertham,/tamilnadu/rameshwaram/agniteertham
2,Annai Indira Gandhi / Pamban Bridge,/tamilnadu/rameshwaram/annai-indira-gandhi-pamban-bridge
3,Devipattinam (Navabashanam),/tamilnadu/rameshwaram/devipattinam
4,Five-Faced Hanuman Temple,/tamilnadu/rameshwaram/five-faced-hanuman-temple
5,Gandhamathana Parvatham,/tamilnadu/rameshwaram/gandhamathana-parvatham
6,Dhanushkodi,/tamilnadu/rameshwaram/dhanushkodi
7,Kurusadai Island,/tamilnadu/rameshwaram/kurusadai-island
8,Ramanathapuram,/tamilnadu/rameshwaram/ramanathapuram
9,Thirupullani,/tamilnadu/rameshwaram/thirupullani
10,Uthirakosamangai,/tamilnadu/rameshwaram/uthirakosamangai
11,Erwadi,/tamilnadu/rameshwaram/erwadi
