,City,Link
0,Great Rann Of Kutch,/gujarat/rann-of-kutch/great-rann-of-kutch
1,Narayan Sarovar & Sanctuary,/gujarat/rann-of-kutch/narayan-sarovar-sanctuary
2,Chhari Dhand Bird Sanctuary,/gujarat/rann-of-kutch/chhari-dhand-bird-sanctuary
3,Kutch Desert Festival / Rann Utsav,/gujarat/rann-of-kutch/kutch-desert-festival-rann-utsav
4,Kalo Dungar,/gujarat/rann-of-kutch/kalo-dungar
5,Siyot Caves,/gujarat/rann-of-kutch/siyot-caves
6,Koteshwar Mahadev Temple,/gujarat/rann-of-kutch/koteshwar-mahadev-temple
7,Lakhpat,/gujarat/rann-of-kutch/lakhpat
8,Mata No Madh Desh Devi Maa Ashapura,/gujarat/rann-of-kutch/mata-no-madh-desh-devi-maa-ashapura
9,Banni Grassland Reserve,/gujarat/rann-of-kutch/banni-grassland-reserve
10,Kutch Desert Wildlife Sanctuary,/gujarat/rann-of-kutch/kutch-desert-wildlife-sanctuary
11,Dholavira,/gujarat/rann-of-kutch/dholavira
12,Indian Wild Ass Sanctuary - Little Rann Of Kutch,/gujarat/rann-of-kutch/indian-wild-ass-sanctuary-little-rann-of-kutch
