,City,Link
0,Lakshman Jhula,/uttarakhand/rishikesh/lakshman-jhula
1,Triveni Ghat,/uttarakhand/rishikesh/triveni-ghat
2,Tera Manzil Temple / Kailash Niketan Temple,/uttarakhand/rishikesh/tera-manzil-temple-kailash-niketan-temple
3,Parmarth Niketan,/uttarakhand/rishikesh/parmarth-niketan
4,Shivananda Ashram,/uttarakhand/rishikesh/shivananda-ashram
5,Neer Garh / Neer Gaddu Waterfall,/uttarakhand/rishikesh/neer-garh-neer-gaddu-waterfall
6,White Water Rafting - Shivpuri,/uttarakhand/rishikesh/white-water-rafting-shivpuri
7,Rafting - Brahmapuri,/uttarakhand/rishikesh/rafting-brahmapuri
8,Haridwar,/uttarakhand/haridwar
9,Ram Jhula,/uttarakhand/rishikesh/ram-jhula
10,Bharat Mandir,/uttarakhand/rishikesh/bharat-mandir
11,Sri Neelkanth Mahadev Temple,/uttarakhand/rishikesh/sri-neelkanth-mahadev-temple
12,Raghunath Temple,/uttarakhand/rishikesh/raghunath-temple
13,Lakshman Temple,/uttarakhand/rishikesh/lakshman-temple
14,Kunjapuri Devi Mandir,/uttarakhand/rishikesh/kunjapuri-devi-mandir
15,Geeta Bhavan,/uttarakhand/rishikesh/geeta-bhavan
16,Shatrughna Temple,/uttarakhand/rishikesh/shatrughna-temple
17,Narendra Nagar,/uttarakhand/rishikesh/narendra-nagar
18,Swargashram,/uttarakhand/rishikesh/swargashram
19,Omkarananda Ashram,/uttarakhand/rishikesh/omkarananda-ashram
20,Mahesh Yogi's Ashram / Beatles Ashram,/uttarakhand/rishikesh/mahesh-yogis-ashram-beatles-ashram
21,Vashishta Gufa / Vashishta Cave,/uttarakhand/rishikesh/vashishta-gufa-vashishta-cave
22,Patna Waterfalls,/uttarakhand/rishikesh/patna-waterfalls
23,White Water Rafting - Kaudiyala,/uttarakhand/rishikesh/white-water-rafting-kaudiyala
24,White Water Rafting - Marine Drive,/uttarakhand/rishikesh/white-water-rafting-marine-drive
25,"Rajaji National Park, Near Haridwar",/uttarakhand/haridwar/rajaji-national-park
26,Dehradun,/uttarakhand/dehradun
27,Garud Chatti Waterfall & Phool Chatti Waterfall,/uttarakhand/rishikesh/garud-chatti-waterfall-phool-chatti-waterfall
