,City,Link
0,Johnnies Wax Museum,/himachal/shimla/johnnies-wax-museum
1,Johnnies Wax Museum,/himachal/shimla/johnnies-wax-museum
2,Johnnies Wax Museum,/himachal/shimla/johnnies-wax-museum
3,Annandale,/himachal/shimla/annandale
4,Dorje Drak Monastery / TDAC Nyingmapa Monastery,/himachal/shimla/dorje-drak-monastery-tdac-nyingmapa-monastery
5,Vice Regal Lodge,/himachal/shimla/vice-regal-lodge
6,Jakhu Temple / Jakhu Hill,/himachal/shimla/jakhu-temple-jakhu-hill
7,Kali Bari Temple,/himachal/shimla/kali-bari-temple
8,The Mall,/himachal/shimla/the-mall
9,Tara Devi Temple,/himachal/shimla/tara-devi-temple
10,Christ Church,/himachal/shimla/christ-church
11,The Ridge,/himachal/shimla/the-ridge
12,Kalka - Shimla Railway,/himachal/shimla/kalka-shimla-railway
13,Kufri Ski Resort,/himachal/shimla/kufri-ski-resort
14,"Hatu Peak, Near Narkanda",/himachal/narkanda/hatu-peak
15,Shaily Peak,/himachal/shimla/shaily-peak
16,Shimla Water Catchment Wildlife Sanctuary,/himachal/shimla/shimla-water-catchment-wildlife-sanctuary
17,Himalayan Nature Park / Kufri Zoo,/himachal/shimla/himalayan-nature-park-kufri-zoo
18,St Michaels Cathedral,/himachal/shimla/st-michaels-cathedral
19,Army Heritage Museum,/himachal/shimla/army-heritage-museum
20,Rothney Castle,/himachal/shimla/rothney-castle
21,Hawa Ghar,/himachal/shimla/hawa-ghar
22,Luturu Mahadev Temple,/himachal/shimla/luturu-mahadev-temple
23,Arki Fort And Palace,/himachal/shimla/arki-fort-and-palace
24,Baba Bhalku Rail Museum,/himachal/shimla/baba-bhalku-rail-museum
25,Bhimakali Temple - Sarahan,/himachal/shimla/bhimakali-temple-sarahan
26,Chadwick Falls,/himachal/shimla/chadwick-falls
27,Chail,/himachal/shimla/chail
28,Carigneno / Craignano - Mashobra,/himachal/shimla/carigneno-craignano-mashobra
29,Chapslee Palace,/himachal/shimla/chapslee-palace
30,Durga Temple - Arki,/himachal/shimla/durga-temple-arki
31,Fagu Ski Resort,/himachal/shimla/fagu-ski-resort
32,Gaiety Heritage Cultural Complex,/himachal/shimla/gaiety-heritage-cultural-complex
33,Gorton Castle,/himachal/shimla/gorton-castle
34,Grave Of Barog,/himachal/shimla/grave-of-barog
35,Green Valley,/himachal/shimla/green-valley
36,Gurkha Gate,/himachal/shimla/gurkha-gate
37,Habban Valley,/himachal/shimla/habban-valley
38,Hatkoti Temples,/himachal/shimla/hatkoti-temples
39,Himachal State Museum,/himachal/shimla/himachal-state-museum
40,Himalayan Aviary / Himalayan Bird Park,/himachal/shimla/himalayan-aviary-himalayan-bird-park
41,Image Art Gallery,/himachal/shimla/image-art-gallery
42,Jubbal,/himachal/shimla/jubbal
43,Jubbal Palace,/himachal/shimla/jubbal-palace
44,Scandal Point,/himachal/shimla/scandal-point
45,Shoolini Temple - Solan,/himachal/shimla/shoolini-temple-solan
46,Summer Hill,/himachal/shimla/summer-hill
47,Kuthar Fort,/himachal/shimla/kuthar-fort
48,Lakkar Bazaar,/himachal/shimla/lakkar-bazaar
49,Kamna Devi Temple,/himachal/shimla/kamna-devi-temple
50,Sankat Mochan Temple,/himachal/shimla/sankat-mochan-temple
51,Sidh Baba Ka Mandir,/himachal/shimla/sidh-baba-ka-mandir
52,Kharapathar,/himachal/shimla/kharapathar
53,Gurkha Fort - Subathu,/himachal/shimla/gurkha-fort-subathu
54,Naldehra,/himachal/shimla/naldehra
55,Narkanda,/himachal/narkanda
