,City,Link
0,Gomateshwara Temple / Bahubali Statue,/karnataka/shravanabelagola/gomateshwara-temple-bahubali-statue
1,Chamundaraya Basadi - Chandragiri,/karnataka/shravanabelagola/chamundaraya-basadi-chandragiri
2,Odegal Basadi / Trikutachala - Vindhyagiri,/karnataka/shravanabelagola/odegal-basadi-trikutachala-vindhyagiri
3,Bhandara Basadi,/karnataka/shravanabelagola/bhandara-basadi
4,Aregal Basadi - Jinanathpura,/karnataka/shravanabelagola/aregal-basadi-jinanathpura
5,Chandragupta Basadi - Chandragiri,/karnataka/shravanabelagola/chandragupta-basadi-chandragiri
6,Parshwanatha Basadi - Chandragiri,/karnataka/shravanabelagola/parshwanatha-basadi-chandragiri
7,Kattale Basadi - Chandragiri,/karnataka/shravanabelagola/kattale-basadi-chandragiri
8,Chandraprabha Basadi - Chandragiri,/karnataka/shravanabelagola/chandraprabha-basadi-chandragiri
9,Halebelagola,/karnataka/shravanabelagola/halebelagola
10,Kambadahalli,/karnataka/shravanabelagola/kambadahalli
11,Tyagada Kamba - Vindhyagiri,/karnataka/shravanabelagola/tyagada-kamba-vindhyagiri
12,Chennanna Basadi - Vindhyagiri,/karnataka/shravanabelagola/chennanna-basadi-vindhyagiri
13,Akhanda Bagilu - Vindhyagiri,/karnataka/shravanabelagola/akhanda-bagilu-vindhyagiri
14,Siddhara Basadi - Vindhyagiri,/karnataka/shravanabelagola/siddhara-basadi-vindhyagiri
15,Shanthinath Basadi - Jinanathpura,/karnataka/shravanabelagola/shanthinath-basadi-jinanathpura
