,City,Link
0,Somnath Temple,/gujarat/somnath/somnath-temple
1,Triveni Ghat,/gujarat/somnath/triveni-ghat
2,Ahilyabai Temple,/gujarat/somnath/ahilyabai-temple
3,Bhalka Teerth,/gujarat/somnath/bhalka-teerth
4,Shri Ram Mandir,/gujarat/somnath/shri-ram-mandir
5,Prabhas Patan Museum,/gujarat/somnath/prabhas-patan-museum
6,Somnath Beach,/gujarat/somnath/somnath-beach
7,Panch Pandav Gufa / Hinglaj Mataji Gufa,/gujarat/somnath/panch-pandav-gufa-hinglaj-mataji-gufa
8,Gita Mandir / Birla Mandir,/gujarat/somnath/gita-mandir-birla-mandir
9,Kamnath Mahadev Temple,/gujarat/somnath/kamnath-mahadev-temple
10,Golok Dham Tirth / Dehotsarg Tirth,/gujarat/somnath/golok-dham-tirth-dehotsarg-tirth
