,City,Link
0,Brihadeeswarar Temple,/tamilnadu/thanjavur/brihadeeswarar-temple
1,Thanjavur Palace,/tamilnadu/thanjavur/thanjavur-palace
2,Kumbakonam,/tamilnadu/kumbakonam
3,Thirukandiyur,/tamilnadu/thanjavur/thirukandiyur
4,Thiruvaiyaru,/tamilnadu/thanjavur/thiruvaiyaru
5,Thiruvarur,/tamilnadu/thanjavur/thiruvarur
6,Velankanni,/tamilnadu/thanjavur/velankanni
7,Nagore,/tamilnadu/thanjavur/nagore
8,Vedaranyam,/tamilnadu/thanjavur/vedaranyam
9,Point Calimere Wildlife Sanctuary,/tamilnadu/thanjavur/point-calimere-wildlife-sanctuary
10,Nagapattinam,/tamilnadu/thanjavur/nagapattinam
11,Tiruchirappalli,/tamilnadu/tiruchirappalli
12,"Sri Ranganathaswamy Temple - Srirangam, Near Tiruchirappalli",/tamilnadu/tiruchirappalli/sri-ranganathaswamy-temple-srirangam
13,Punnai Nallur Mariamman Temple,/tamilnadu/thanjavur/punnai-nallur-mariamman-temple
14,Thanjavur Art Gallery,/tamilnadu/thanjavur/thanjavur-art-gallery
15,Sangeet Mahal,/tamilnadu/thanjavur/sangeet-mahal
16,Saraswati Mahal Library,/tamilnadu/thanjavur/saraswati-mahal-library
17,Schwartz Church,/tamilnadu/thanjavur/schwartz-church
18,Royal Museum & Maratha Durbar,/tamilnadu/thanjavur/royal-museum-maratha-durbar
19,Poondi Matha Kovil,/tamilnadu/thanjavur/poondi-matha-kovil
20,Manora,/tamilnadu/thanjavur/manora
21,"Gangai Konda Cholapuram, Near Chidambaram",/tamilnadu/chidambaram/gangai-konda-cholapuram
