,City,Link
0,Boat Cruises,/kerala/thekkady/boat-cruises
1,Elephant Rides,/kerala/thekkady/elephant-rides
2,Bamboo Rafting,/kerala/thekkady/bamboo-rafting
3,Trekking / Nature Walk,/kerala/thekkady/trekking-nature-walk
4,Tribal Heritage Programme,/kerala/thekkady/tribal-heritage-programme
5,Connemara Tea Factory,/kerala/thekkady/connemara-tea-factory
6,Jungle Safari,/kerala/thekkady/jungle-safari
7,Periyar Tiger Trail,/kerala/thekkady/periyar-tiger-trail
8,Vandanmedu,/kerala/thekkady/vandanmedu
9,Kannagi / Mangaladevi Temple,/kerala/thekkady/kannagi-mangaladevi-temple
10,Chellarkovil,/kerala/thekkady/chellarkovil
11,Vandiperiyar,/kerala/thekkady/vandiperiyar
12,Pullumedu,/kerala/thekkady/pullumedu
13,Mullaperiyar Dam,/kerala/thekkady/mullaperiyar-dam
14,"Suruli Waterfalls, Near Madurai",/tamilnadu/madurai/suruli-waterfalls
15,"Ramakalamedu, Near Idukki",/kerala/idukki/ramakalamedu
16,Parunthumpara Hill Viewpoint,/kerala/thekkady/parunthumpara-hill-viewpoint
17,Peermedu / Peermade,/kerala/thekkady/peermedu-peermade
