,City,Link
0,Sri Ranganathaswamy Temple - Srirangam,/tamilnadu/tiruchirappalli/sri-ranganathaswamy-temple-srirangam
1,The Rock Fort Temple,/tamilnadu/tiruchirappalli/the-rock-fort-temple
2,Thiruvanaikoil / Jambukeshwar Temple,/tamilnadu/tiruchirappalli/thiruvanaikoil-jambukeshwar-temple
3,Mariamman Temple - Samayapuram,/tamilnadu/tiruchirappalli/mariamman-temple-samayapuram
4,Sri Brahmapureeswarar Temple - Tirupattur,/tamilnadu/tiruchirappalli/sri-brahmapureeswarar-temple-tirupattur
5,Sri Prasanna Venkatachlapathy Temple - Gunaseelam,/tamilnadu/tiruchirappalli/sri-prasanna-venkatachlapathy-temple-gunaseelam
6,Vekkali Amman Temple - Woraiyur,/tamilnadu/tiruchirappalli/vekkali-amman-temple-woraiyur
7,Viralimalai Murugan Temple,/tamilnadu/tiruchirappalli/viralimalai-murugan-temple
8,Sri Subramanya Swamy Temple - Vayalur,/tamilnadu/tiruchirappalli/sri-subramanya-swamy-temple-vayalur
9,Erumbeeswarar Temple / Malai Koil - Thiruverumbur,/tamilnadu/tiruchirappalli/erumbeeswarar-temple-malai-koil-thiruverumbur
10,Thalamalai Perumal Temple,/tamilnadu/tiruchirappalli/thalamalai-perumal-temple
11,Uthamarkoil Temple,/tamilnadu/tiruchirappalli/uthamarkoil-temple
12,Sri Thirunedungalanathar Temple,/tamilnadu/tiruchirappalli/sri-thirunedungalanathar-temple
13,Kudumiyanmalai Shikanathar Temple,/tamilnadu/tiruchirappalli/kudumiyanmalai-shikanathar-temple
14,Malayadipatti Rock-Cut Temples,/tamilnadu/tiruchirappalli/malayadipatti-rock-cut-temples
15,Agaya Gangai Falls,/tamilnadu/tiruchirappalli/agaya-gangai-falls
16,Puliyancholai Falls,/tamilnadu/tiruchirappalli/puliyancholai-falls
17,Kolli Hills,/tamilnadu/tiruchirappalli/kolli-hills
