,City,Link
0,Tirumala,/andhra/tirumala
1,Govindaraja Swami Temple,/andhra/tirupati/govindaraja-swami-temple
2,Kapila Theertham,/andhra/tirupati/kapila-theertham
3,Chandragiri,/andhra/tirupati/chandragiri
4,Tiruchanur,/andhra/tirupati/tiruchanur
5,Srinivasa Mangapuram,/andhra/tirupati/srinivasa-mangapuram
6,Srikalahasti,/andhra/srikalahasti
7,Talakona Waterfalls,/andhra/talakona-waterfalls
8,Kanipakam,/andhra/kanipakam
9,"Tada Falls / Ubbalamadugu Falls, Near Srikalahasti",/andhra/srikalahasti/tada-falls-ubbalamadugu-falls
10,Kailasakona Waterfalls,/andhra/tirupati/kailasakona-waterfalls
11,Kodandarama Swami Temple,/andhra/tirupati/kodandarama-swami-temple
12,Narayanavanam,/andhra/tirupati/narayanavanam
13,Veda Narayanaswami Temple,/andhra/tirupati/veda-narayanaswami-temple
14,Venugopala Swami Temple - Karvetinagaram,/andhra/tirupati/venugopala-swami-temple-karvetinagaram
15,Prasanna Venkateswara Swami Temple,/andhra/tirupati/prasanna-venkateswara-swami-temple
16,Tallapaka,/andhra/tirupati/tallapaka
17,Kasi Visweswara Temple,/andhra/tirupati/kasi-visweswara-temple
18,Agastheeswara Temple - Mukkoti,/andhra/tirupati/agastheeswara-temple-mukkoti
19,Kalyani Dam,/andhra/tirupati/kalyani-dam
20,"Thiruttani, Near Kanchipuram",/tamilnadu/kanchipuram/thiruttani
21,Nagalapuram,/andhra/tirupati/nagalapuram
22,Horsley Hills,/andhra/horsley-hills
23,"Sripuram, Near Vellore",/tamilnadu/vellore/sripuram
