,City,Link
0,Anantha Padmanabha Temple,/kerala/trivandrum/anantha-padmanabha-temple
1,Palace Museum / Kuthira Malika,/kerala/trivandrum/palace-museum-kuthira-malika
2,Napier Museum / Govt. Art Museum,/kerala/trivandrum/napier-museum-govt-art-museum
3,Kovalam,/kerala/kovalam
4,Attukal Bhagavathi Temple,/kerala/trivandrum/attukal-bhagavathi-temple
5,Shanghumugham Beach,/kerala/trivandrum/shanghumugham-beach
6,"Poovar, Near Kovalam",/kerala/kovalam/poovar
7,Zoological Gardens,/kerala/trivandrum/zoological-gardens
8,Neyyar Dam & Wildlife Sanctuary,/kerala/trivandrum/neyyar-dam-wildlife-sanctuary
9,Kowdiar Palace,/kerala/trivandrum/kowdiar-palace
10,Veli Tourist Village,/kerala/trivandrum/veli-tourist-village
11,Anjengo / Anchuthengu Fort,/kerala/trivandrum/anjengo-anchuthengu-fort
12,Aruvikkara Dam,/kerala/trivandrum/aruvikkara-dam
13,Vizhinjam,/kerala/trivandrum/vizhinjam
14,Koyikkal Palace / Folklore Museum,/kerala/trivandrum/koyikkal-palace-folklore-museum
15,Aruvi Waterfalls,/kerala/trivandrum/aruvi-waterfalls
16,Pandipathu,/kerala/trivandrum/pandipathu
17,Kanakakunnu Palace,/kerala/trivandrum/kanakakunnu-palace
18,Akkulam Tourist Village,/kerala/trivandrum/akkulam-tourist-village
19,Thiruvallam,/kerala/trivandrum/thiruvallam
20,Natural History Museum,/kerala/trivandrum/natural-history-museum
21,Priyadarshini Planetarium,/kerala/trivandrum/priyadarshini-planetarium
22,Chacha Nehru Children's Museum,/kerala/trivandrum/chacha-nehru-childrens-museum
23,Paripally Gajamela,/kerala/trivandrum/paripally-gajamela
24,"Thiruparappu Waterfalls, Near Kanyakumari",/tamilnadu/kanyakumari/thiruparappu-waterfalls
25,"Padmanabhapuram, Near Kanyakumari",/tamilnadu/kanyakumari/padmanabhapuram
26,"Olakkay Aruvi Waterfalls, Near Kanyakumari",/tamilnadu/kanyakumari/olakkay-aruvi-waterfalls
27,Kanyakumari,/tamilnadu/kanyakumari
28,"Kallar Meenmutty Falls, Near Ponmudi",/kerala/ponmudi/kallar-meenmutty-falls
29,"Golden Valley, Near Ponmudi",/kerala/ponmudi/golden-valley
30,"Mankayam, Near Ponmudi",/kerala/ponmudi/mankayam
31,"Agasthyakoodam, Near Ponmudi",/kerala/ponmudi/agasthyakoodam
32,"Peppara Dam & Wildlife Sanctuary, Near Ponmudi",/kerala/ponmudi/peppara-dam-wildlife-sanctuary
33,Ponmudi,/kerala/ponmudi
