,City,Link
0,City Palace - Udaipur,/rajasthan/udaipur/city-palace-udaipur
1,Lake Pichola,/rajasthan/udaipur/lake-pichola
2,Eklingji Temple,/rajasthan/udaipur/eklingji-temple
3,Bagore Ki Haveli,/rajasthan/udaipur/bagore-ki-haveli
4,Monsoon Palace - Sajjangarh,/rajasthan/udaipur/monsoon-palace-sajjangarh
5,Lake Palace - Udaipur,/rajasthan/udaipur/lake-palace-udaipur
6,Jag Mandir Palace,/rajasthan/udaipur/jag-mandir-palace
7,Jagdish Temple,/rajasthan/udaipur/jagdish-temple
8,Fateh Prakash Palace,/rajasthan/udaipur/fateh-prakash-palace
9,Fateh Sagar Lake,/rajasthan/udaipur/fateh-sagar-lake
10,Sas Bahu Temple / Sahastra Bahu Temple,/rajasthan/udaipur/sas-bahu-temple-sahastra-bahu-temple
11,Shrinathji Temple - Nathdwara,/rajasthan/udaipur/shrinathji-temple-nathdwara
12,Sahelion Ki Bari / Garden Of The Maidens,/rajasthan/udaipur/sahelion-ki-bari-garden-of-the-maidens
13,Vintage & Classic Car Collection,/rajasthan/udaipur/vintage-classic-car-collection
14,Maharana Pratap Smarak,/rajasthan/udaipur/maharana-pratap-smarak
15,Haldighati,/rajasthan/udaipur/haldighati
16,Shilpgram,/rajasthan/udaipur/shilpgram
17,Jaisamand Lake,/rajasthan/udaipur/jaisamand-lake
18,Ahar Cenotaphs & Museum,/rajasthan/udaipur/ahar-cenotaphs-museum
19,Mansapurna Karni Mata Ropeway,/rajasthan/udaipur/mansapurna-karni-mata-ropeway
20,Udaipur Solar Observatory,/rajasthan/udaipur/udaipur-solar-observatory
21,Kumbhalgarh,/rajasthan/kumbhalgarh
22,Chittorgarh,/rajasthan/chittorgarh
