,City,Link
0,Udupi Sri Krishna Temple,/karnataka/udupi/udupi-sri-krishna-temple
1,St. Mary's Island,/karnataka/udupi/st-marys-island
2,Anegudde Vinayaka Temple,/karnataka/udupi/anegudde-vinayaka-temple
3,Malpe Beach,/karnataka/udupi/malpe-beach
4,Kaup Beach,/karnataka/udupi/kaup-beach
5,Agumbe,/karnataka/agumbe
6,"Jogi Gundi Falls, Near Agumbe",/karnataka/agumbe/jogi-gundi-falls
7,"Kudlu Theertha Waterfalls, Near Agumbe",/karnataka/agumbe/kudlu-theertha-waterfalls
8,"Barkana Falls, Near Agumbe",/karnataka/agumbe/barkana-falls
9,"Onake Abbi Falls, Near Agumbe",/karnataka/agumbe/onake-abbi-falls
10,"Jomlu Theertha Falls, Near Agumbe",/karnataka/agumbe/jomlu-theertha-falls
11,"Kunchikal Falls, Near Agumbe",/karnataka/agumbe/kunchikal-falls
12,Vadabhandeshwara Temple - Malpe,/karnataka/udupi/vadabhandeshwara-temple-malpe
13,Bramhavar,/karnataka/udupi/bramhavar
14,Barkur,/karnataka/udupi/barkur
15,Chathurmukha Basadi - Karkala,/karnataka/udupi/chathurmukha-basadi-karkala
16,Gomatheshwara Statue - Karkala,/karnataka/udupi/gomatheshwara-statue-karkala
17,Neminath Basadi - Karkala,/karnataka/udupi/neminath-basadi-karkala
18,Sri Venkata Ramana Temple - Karkala,/karnataka/udupi/sri-venkata-ramana-temple-karkala
19,Ananthashayana Temple - Karkala,/karnataka/udupi/ananthashayana-temple-karkala
20,St. Lawrence Church - Attur,/karnataka/udupi/st-lawrence-church-attur
21,Kere Basadi - Varanga,/karnataka/udupi/kere-basadi-varanga
22,Ambutheertha,/karnataka/udupi/ambutheertha
23,Achakanya Falls,/karnataka/udupi/achakanya-falls
24,"Venkataramana Temple - Mulki, Near Mangalore",/karnataka/mangalore/venkataramana-temple-mulki
25,"Bappanadu Durga Parameshwari Temple - Mulki, Near Mangalore",/karnataka/mangalore/bappanadu-durga-parameshwari-temple-mulki
26,"Maravanthe Beach, Near Murudeshwar",/karnataka/murudeshwar/maravanthe-beach
27,"Moodabidri, Near Mangalore",/karnataka/mangalore/moodabidri
28,Mangalore,/karnataka/mangalore
29,"Baindur / Byndoor, Near Murudeshwar",/karnataka/murudeshwar/baindur-byndoor
30,"Kollur Mookambika Temple, Near Murudeshwar",/karnataka/murudeshwar/kollur-mookambika-temple
31,"Arisina Gundi Falls, Near Murudeshwar",/karnataka/murudeshwar/arisina-gundi-falls
32,Murudeshwar,/karnataka/murudeshwar
33,"Narasimha Parvatha Trek, Near Sringeri",/karnataka/sringeri/narasimha-parvatha-trek
34,Sringeri,/karnataka/sringeri
35,Kavaledurga Fort,/karnataka/udupi/kavaledurga-fort
