,City,Link
0,Kashi Vishwanath Temple / Golden Temple,/uttar-pradesh/varanasi/kashi-vishwanath-temple-golden-temple
1,Dasashwamedh Ghat,/uttar-pradesh/varanasi/dasashwamedh-ghat
2,New Vishwanath Temple / Birla Temple,/uttar-pradesh/varanasi/new-vishwanath-temple-birla-temple
3,Durgakund Temple/ Durga Temple,/uttar-pradesh/varanasi/durgakund-temple-durga-temple
4,Tulsi Manas Mandir,/uttar-pradesh/varanasi/tulsi-manas-mandir
5,Manikarnika Ghat,/uttar-pradesh/varanasi/manikarnika-ghat
6,Lalita Ghat & Nepali Temple,/uttar-pradesh/varanasi/lalita-ghat-nepali-temple
7,Assi Ghat,/uttar-pradesh/varanasi/assi-ghat
8,Ramnagar Fort,/uttar-pradesh/varanasi/ramnagar-fort
9,Sarnath,/uttar-pradesh/varanasi/sarnath
10,Darbhanga Ghat,/uttar-pradesh/varanasi/darbhanga-ghat
11,Chet Singh Ghat,/uttar-pradesh/varanasi/chet-singh-ghat
12,Man Mandir Ghat,/uttar-pradesh/varanasi/man-mandir-ghat
13,Scindia Ghat,/uttar-pradesh/varanasi/scindia-ghat
14,Panchganga Ghat,/uttar-pradesh/varanasi/panchganga-ghat
15,Tulsi Ghat,/uttar-pradesh/varanasi/tulsi-ghat
16,Sankat Mochan Hanuman Mandir,/uttar-pradesh/varanasi/sankat-mochan-hanuman-mandir
17,Bharat Mata Mandir,/uttar-pradesh/varanasi/bharat-mata-mandir
18,Kaal Bhairav Mandir,/uttar-pradesh/varanasi/kaal-bhairav-mandir
19,Bharat Kala Bhavan Museum,/uttar-pradesh/varanasi/bharat-kala-bhavan-museum
20,Annapurna Devi Mandir,/uttar-pradesh/varanasi/annapurna-devi-mandir
21,Jantar Mantar / Man Singh Observatory,/uttar-pradesh/varanasi/jantar-mantar-man-singh-observatory
22,Sri Kasi Vishalakshi Devi Temple,/uttar-pradesh/varanasi/sri-kasi-vishalakshi-devi-temple
23,Chunar Fort,/uttar-pradesh/varanasi/chunar-fort
24,Vijaygarh Fort,/uttar-pradesh/varanasi/vijaygarh-fort
25,Chandraprabha Wildlife Sanctuary,/uttar-pradesh/varanasi/chandraprabha-wildlife-sanctuary
26,Harishchandra Ghat,/uttar-pradesh/varanasi/harishchandra-ghat
27,Lakhaniya Dari Waterfalls,/uttar-pradesh/varanasi/lakhaniya-dari-waterfalls
