,City,Link
0,Kailasagiri,/andhra/vizag/kailasagiri
1,Rama Krishna Beach,/andhra/vizag/rama-krishna-beach
2,Rishikonda Beach,/andhra/vizag/rishikonda-beach
3,Submarine Museum,/andhra/vizag/submarine-museum
4,Bheemili Beach,/andhra/vizag/bheemili-beach
5,Simhachalam,/andhra/vizag/simhachalam
6,Indira Gandhi Zoological Park,/andhra/vizag/indira-gandhi-zoological-park
7,Kali Temple,/andhra/vizag/kali-temple
8,Sri Venkateswara Swamy Konda,/andhra/vizag/sri-venkateswara-swamy-konda
9,Tatipudi Reservoir,/andhra/vizag/tatipudi-reservoir
10,Vishaka Museum,/andhra/vizag/vishaka-museum
11,Thotlakonda,/andhra/vizag/thotlakonda
12,Bavikonda,/andhra/vizag/bavikonda
13,Pavuralakonda,/andhra/vizag/pavuralakonda
14,Appikonda,/andhra/vizag/appikonda
15,Kondakarla Ava,/andhra/vizag/kondakarla-ava
16,Gangavaram Beach,/andhra/vizag/gangavaram-beach
17,Bojjanna Konda / Sankaram,/andhra/vizag/bojjanna-konda-sankaram
18,"Tyda Nature Camp, Near Araku Valley",/andhra/araku-valley/tyda-nature-camp
19,"Ananthagiri, Near Araku Valley",/andhra/araku-valley/ananthagiri
20,"Borra Caves, Near Araku Valley",/andhra/araku-valley/borra-caves
21,Araku Valley,/andhra/araku-valley
22,Lambasingi,/andhra/lambasingi
23,Vizag Harbour,/andhra/vizag/vizag-harbour
24,VUDA Park,/andhra/vizag/vuda-park
25,Darga Konda,/andhra/vizag/darga-konda
26,Yarada Beach,/andhra/vizag/yarada-beach
27,Annavaram,/andhra/annavaram
28,Rose Hill,/andhra/vizag/rose-hill
29,Dolphin Nose,/andhra/vizag/dolphin-nose
