,City,Link
0,Govind Deo Temple / Govind Dev Ji Temple,/uttar-pradesh/vrindavan/govind-deo-temple-govind-dev-ji-temple
1,Bankey Bihari Temple,/uttar-pradesh/vrindavan/bankey-bihari-temple
2,Prem Mandir,/uttar-pradesh/vrindavan/prem-mandir
3,ISKCON Temple / Krishna Balaram Mandir,/uttar-pradesh/vrindavan/iskcon-temple-krishna-balaram-mandir
4,Sri Ranganatha Temple / Rangaji Temple,/uttar-pradesh/vrindavan/sri-ranganatha-temple-rangaji-temple
5,Katyayani Shakti Peeth / Uma Shakti Peeth,/uttar-pradesh/vrindavan/katyayani-shakti-peeth-uma-shakti-peeth
6,Mathura,/uttar-pradesh/mathura
7,Sri Radha Damodar Mandir,/uttar-pradesh/vrindavan/sri-radha-damodar-mandir
8,Madan Mohan Temple,/uttar-pradesh/vrindavan/madan-mohan-temple
9,Radha Ramana Temple,/uttar-pradesh/vrindavan/radha-ramana-temple
10,Pagal Baba Temple,/uttar-pradesh/vrindavan/pagal-baba-temple
11,Shahji Temple,/uttar-pradesh/vrindavan/shahji-temple
12,"Kusum Sarovar, Near Mathura",/uttar-pradesh/mathura/kusum-sarovar
13,"Barsana, Near Mathura",/uttar-pradesh/mathura/barsana
