,City,Link
0,Banasura Sagar Dam,/kerala/wayanad/banasura-sagar-dam
1,Edakkal Caves,/kerala/wayanad/edakkal-caves
2,Soochipara Waterfalls / Sentinel Rock Waterfalls,/kerala/wayanad/soochipara-waterfalls-sentinel-rock-waterfalls
3,Pookote Lake,/kerala/wayanad/pookote-lake
4,Lakkidi,/kerala/wayanad/lakkidi
5,Chembra Peak,/kerala/wayanad/chembra-peak
6,Meenmutty Waterfalls,/kerala/wayanad/meenmutty-waterfalls
7,Wayanad Wildlife Sanctuary - Muthanga,/kerala/wayanad/wayanad-wildlife-sanctuary-muthanga
8,Kuruva Island,/kerala/wayanad/kuruva-island
9,Thusharagiri Waterfalls,/kerala/wayanad/thusharagiri-waterfalls
10,Arippara Waterfalls,/kerala/wayanad/arippara-waterfalls
11,Thrissilery Shiva Temple,/kerala/wayanad/thrissilery-shiva-temple
12,Nagarhole National Park,/karnataka/nagarhole-national-park
13,Seetha Lava Kusha Temple,/kerala/wayanad/seetha-lava-kusha-temple
14,Manikavu Temple,/kerala/wayanad/manikavu-temple
15,Pallikkunnu Church,/kerala/wayanad/pallikkunnu-church
16,Vythiri,/kerala/wayanad/vythiri
17,Neelimala Viewpoint,/kerala/wayanad/neelimala-viewpoint
18,Ripon Tea Factory,/kerala/wayanad/ripon-tea-factory
19,Irupu Falls,/karnataka/irupu-falls
20,Wayanad Wildlife Sanctuary - Tholpetty,/kerala/wayanad/wayanad-wildlife-sanctuary-tholpetty
21,Sulthan Bathery,/kerala/wayanad/sulthan-bathery
22,Maha Ganapathi Temple - Sulthan Bathery,/kerala/wayanad/maha-ganapathi-temple-sulthan-bathery
23,Jain Temple - Sulthan Bathery,/kerala/wayanad/jain-temple-sulthan-bathery
24,Wayanad Heritage Museum,/kerala/wayanad/wayanad-heritage-museum
25,Thirunelly Temple,/kerala/wayanad/thirunelly-temple
26,Kanthanpara Waterfalls,/kerala/wayanad/kanthanpara-waterfalls
27,Papanasini,/kerala/wayanad/papanasini
28,Pakshipathalam,/kerala/wayanad/pakshipathalam
29,Pazhassi Raja's Tomb,/kerala/wayanad/pazhassi-rajas-tomb
30,Valliyoor Temple,/kerala/wayanad/valliyoor-temple
31,Chethalayam Waterfalls,/kerala/wayanad/chethalayam-waterfalls
32,Karappuzha Dam,/kerala/wayanad/karappuzha-dam
